Training ConvLSTM for chunk_0_83 (0-82 MHz)
chunk_166_249 epoch 006/25 train_loss=0.105263 val_loss=3.033857 time=9.4s avg=9.4s eta=179s
chunk_166_249 epoch 007/25 train_loss=0.095347 val_loss=1.551187 time=9.4s avg=9.4s eta=169s
chunk_166_249 epoch 008/25 train_loss=0.089926 val_loss=44164884922193240.000000 time=9.4s avg=9.4s eta=160s
chunk_166_249 epoch 009/25 train_loss=0.084536 val_loss=1.510130 time=9.5s avg=9.4s eta=151s
chunk_166_249 epoch 010/25 train_loss=0.080059 val_loss=498139570176.000000 time=9.4s avg=9.4s eta=141s
chunk_166_249 epoch 011/25 train_loss=0.079080 val_loss=6.275260 time=9.4s avg=9.4s eta=132s
chunk_166_249 epoch 012/25 train_loss=0.077291 val_loss=2.101601 time=9.5s avg=9.4s eta=122s
chunk_166_249 epoch 013/25 train_loss=0.074794 val_loss=111062245047271424.000000 time=9.4s avg=9.4s eta=113s
chunk_166_249 epoch 014/25 train_loss=0.073213 val_loss=2.968509 time=9.4s avg=9.4s eta=104s
chunk_166_249 epoch 015/25 train_loss=0.073516 val_loss=4.440233 time=9.4s avg=9.4s eta=94s
chunk_166_249 epoch 016/25 train_loss=0.071042 val_loss=84761426602.666672 time=9.4s avg=9.4s eta=85s
chunk_166_249 epoch 017/25 train_loss=0.069523 val_loss=3.589271 time=9.5s avg=9.4s eta=75s
chunk_166_249 epoch 018/25 train_loss=0.063543 val_loss=900037609789587456.000000 time=9.4s avg=9.4s eta=66s
chunk_166_249 epoch 019/25 train_loss=0.068249 val_loss=5.802814 time=9.5s avg=9.4s eta=57s
chunk_166_249 epoch 020/25 train_loss=0.063669 val_loss=1.429792 time=9.4s avg=9.4s eta=47s
chunk_166_249 epoch 021/25 train_loss=0.065378 val_loss=1.907590 time=9.4s avg=9.4s eta=38s
chunk_166_249 epoch 022/25 train_loss=0.063101 val_loss=2.116112 time=9.5s avg=9.4s eta=28s
chunk_166_249 epoch 023/25 train_loss=0.062731 val_loss=0.713251 time=9.4s avg=9.4s eta=19s
chunk_166_249 epoch 024/25 train_loss=0.065122 val_loss=5.047228 time=10.8s avg=9.5s eta=9s
chunk_166_249 epoch 025/25 train_loss=0.060617 val_loss=538943938560.000000 time=10.8s avg=9.5s eta=0s
Chunk chunk_166_249 done in 248.2s
Total run time: 739.0s (12.3 min)
Wrote 12 aggregate metric rows to /home/cc/spectrum-usage/training/results/ConvLSTM/aggregate_metrics.csv
