Training ConvLSTM for chunk_0_82 (0-82 MHz)
chunk_166_249 epoch 006/25 train_loss=0.124039 val_loss=2.871466 time=9.0s avg=9.0s eta=171s
chunk_166_249 epoch 007/25 train_loss=0.114610 val_loss=1.080647 time=8.9s avg=9.0s eta=162s
chunk_166_249 epoch 008/25 train_loss=0.106645 val_loss=22.126692 time=9.0s avg=9.0s eta=153s
chunk_166_249 epoch 009/25 train_loss=0.096363 val_loss=2.487602 time=9.0s avg=9.0s eta=144s
chunk_166_249 epoch 010/25 train_loss=0.091976 val_loss=1.284135 time=9.0s avg=9.0s eta=135s
chunk_166_249 epoch 011/25 train_loss=0.090812 val_loss=38.569543 time=9.0s avg=9.0s eta=126s
chunk_166_249 epoch 012/25 train_loss=0.083169 val_loss=3.153051 time=9.1s avg=9.0s eta=117s
chunk_166_249 epoch 013/25 train_loss=0.079956 val_loss=2.262399 time=9.0s avg=9.0s eta=108s
chunk_166_249 epoch 014/25 train_loss=0.076790 val_loss=1.894706 time=9.0s avg=9.0s eta=99s
chunk_166_249 epoch 015/25 train_loss=0.081264 val_loss=3.012905 time=9.2s avg=9.0s eta=90s
chunk_166_249 epoch 016/25 train_loss=0.073636 val_loss=2670906.750000 time=9.0s avg=9.0s eta=81s
chunk_166_249 epoch 017/25 train_loss=0.072440 val_loss=2.140118 time=9.0s avg=9.0s eta=72s
chunk_166_249 epoch 018/25 train_loss=0.071677 val_loss=2.900001 time=9.0s avg=9.0s eta=63s
chunk_166_249 epoch 019/25 train_loss=0.069408 val_loss=2.093854 time=9.0s avg=9.0s eta=54s
chunk_166_249 epoch 020/25 train_loss=0.068284 val_loss=2.195526 time=9.0s avg=9.0s eta=45s
chunk_166_249 epoch 021/25 train_loss=0.073834 val_loss=107.223306 time=9.1s avg=9.0s eta=36s
chunk_166_249 epoch 022/25 train_loss=0.069480 val_loss=119919.074870 time=9.0s avg=9.0s eta=27s
chunk_166_249 epoch 023/25 train_loss=0.066020 val_loss=1.817921 time=9.0s avg=9.0s eta=18s
chunk_166_249 epoch 024/25 train_loss=0.065992 val_loss=52701.534831 time=9.1s avg=9.0s eta=9s
chunk_166_249 epoch 025/25 train_loss=0.070473 val_loss=16.224875 time=9.0s avg=9.0s eta=0s
Chunk chunk_166_249 done in 234.4s
Total run time: 705.5s (11.8 min)
Wrote 12 aggregate metric rows to /home/cc/spectrum-usage/training/results/ConvLSTM/aggregate_metrics.csv
