chunk_id,band_id,start_mhz,end_mhz,behavior_category,site,split,horizon,model,mae_db,rmse_db
powder_600_800,region_16,789.5,794.5,mixed_activity,humanities,humanities_test,15,vanillalstm,0.06279166042804718,0.08631014823913574
powder_600_800,region_17,795.5,799.5,noise_floor,humanities,humanities_test,15,vanillalstm,0.034865934401750565,0.22032704949378967
powder_600_800,region_01,600.5,607.5,mixed_activity,humanities,humanities_test,60,vanillalstm,3.3628103733062744,4.872219085693359
powder_600_800,region_02,608.5,621.5,noise_floor,humanities,humanities_test,60,vanillalstm,0.03786586597561836,0.06893771886825562
powder_600_800,region_03,622.5,641.5,bursty_short_timescale,humanities,humanities_test,60,vanillalstm,2.945080041885376,3.9048759937286377
powder_600_800,region_04,642.5,646.5,mixed_activity,humanities,humanities_test,60,vanillalstm,1.4541656970977783,1.9060227870941162
powder_600_800,region_05,647.5,655.5,diurnal_pattern,humanities,humanities_test,60,vanillalstm,2.1273913383483887,2.8564555644989014
powder_600_800,region_06,656.5,675.5,mixed_activity,humanities,humanities_test,60,vanillalstm,1.620444655418396,2.2178890705108643
powder_600_800,region_07,676.5,690.5,noise_floor,humanities,humanities_test,60,vanillalstm,0.06014930084347725,0.22684568166732788
powder_600_800,region_08,691.5,728.5,mixed_activity,humanities,humanities_test,60,vanillalstm,1.419028639793396,1.9098480939865112
powder_600_800,region_09,729.5,734.5,mixed_activity,humanities,humanities_test,60,vanillalstm,1.4893556833267212,1.9960957765579224
powder_600_800,region_10,735.5,740.5,intermittent_occupancy,humanities,humanities_test,60,vanillalstm,1.6492576599121094,2.2051005363464355
powder_600_800,region_11,741.5,745.5,intermittent_occupancy,humanities,humanities_test,60,vanillalstm,1.2335115671157837,1.8830050230026245
powder_600_800,region_12,746.5,755.5,bursty_short_timescale,humanities,humanities_test,60,vanillalstm,1.8444322347640991,2.5598366260528564
powder_600_800,region_13,756.5,768.5,diurnal_pattern,humanities,humanities_test,60,vanillalstm,0.9490681886672974,1.3981971740722656
powder_600_800,region_14,769.5,776.5,bursty_short_timescale,humanities,humanities_test,60,vanillalstm,5.308760643005371,7.551388263702393
powder_600_800,region_15,777.5,788.5,noise_floor,humanities,humanities_test,60,vanillalstm,0.021250590682029724,0.028903335332870483
powder_600_800,region_16,789.5,794.5,mixed_activity,humanities,humanities_test,60,vanillalstm,0.06689281761646271,0.0902450755238533
powder_600_800,region_17,795.5,799.5,noise_floor,humanities,humanities_test,60,vanillalstm,0.03592611849308014,0.22052477300167084
