chunk_id,start_mhz,end_mhz,site,split,horizon,model,target_row_start,target_row_end,n_targets,mae_db,rmse_db
chunk_600_800,600.0,800.0,CC2,CC2_test,1,timeran,0,2879,2880,1.3250701427459717,1.886500597000122
chunk_600_800,600.0,800.0,CC2,CC2_test,5,timeran,0,2879,2880,1.365238070487976,1.9379498958587646
chunk_600_800,600.0,800.0,CC2,CC2_test,15,timeran,0,2879,2880,1.4141805171966553,2.000511884689331
chunk_600_800,600.0,800.0,CC2,CC2_test,60,timeran,0,2879,2880,1.591741919517517,2.2206687927246094
chunk_2400_2600,2400.0,2600.0,CC2,CC2_test,1,timeran,0,2879,2880,1.3880882263183594,2.058668613433838
chunk_2400_2600,2400.0,2600.0,CC2,CC2_test,5,timeran,0,2879,2880,1.4256964921951294,2.1266679763793945
chunk_2400_2600,2400.0,2600.0,CC2,CC2_test,15,timeran,0,2879,2880,1.4799224138259888,2.2101707458496094
chunk_2400_2600,2400.0,2600.0,CC2,CC2_test,60,timeran,0,2879,2880,1.6530098915100098,2.457270383834839
chunk_3500_3700,3500.0,3700.0,CC2,CC2_test,1,timeran,0,2879,2880,1.1163465976715088,1.4484896659851074
chunk_3500_3700,3500.0,3700.0,CC2,CC2_test,5,timeran,0,2879,2880,1.1489747762680054,1.4966429471969604
chunk_3500_3700,3500.0,3700.0,CC2,CC2_test,15,timeran,0,2879,2880,1.2136677503585815,1.5776593685150146
chunk_3500_3700,3500.0,3700.0,CC2,CC2_test,60,timeran,0,2879,2880,1.4677131175994873,1.8941826820373535
