epoch,train_loss,val_loss,epoch_start_time,epoch_end_time,epoch_duration_sec,learning_rate,val_teacher_loss,val_loss_t1,val_loss_t5,val_loss_t15,val_loss_t60
1,0.73177312966588,1.440905551495126,2026-07-20T12:49:30+00:00,2026-07-20T12:49:53+00:00,23.00618155207485,0.005,1.3202563561584495,1.283305499642928,1.2868272083419439,1.3465334001254088,1.547577332685338
2,0.6590285549181162,1.4180735184820306,2026-07-20T12:49:53+00:00,2026-07-20T12:50:15+00:00,22.763792425044812,0.005,1.3036440447872153,1.2658907713281735,1.2669289926247709,1.3102345404686866,1.5401918412711986
3,0.6417652670643074,1.3976552641236937,2026-07-20T12:50:15+00:00,2026-07-20T12:50:38+00:00,22.48006308497861,0.005,1.302962611156898,1.2650752522910798,1.2640147271094384,1.3017923502270003,1.5243562460856368
4,0.6341025633972233,1.3568778045310421,2026-07-20T12:50:38+00:00,2026-07-20T12:51:01+00:00,22.702390171936713,0.005,1.2899550364343513,1.2515070531275365,1.2513361312306683,1.2818812588137283,1.44602700824315
5,0.626598481026734,1.3857918428591502,2026-07-20T12:51:01+00:00,2026-07-20T12:51:23+00:00,22.520789605914615,0.005,1.2810763824614428,1.2415192424112644,1.2421873630322602,1.2754995675374754,1.5478217814877526
6,0.6240498798114509,1.3661791859372505,2026-07-20T12:51:23+00:00,2026-07-20T12:51:45+00:00,21.420221184031107,0.005,1.2766581313859606,1.2366252102134243,1.2392682409905769,1.282029004020487,1.4650450401218726
7,0.6223119611866005,1.3506846937903747,2026-07-20T12:51:45+00:00,2026-07-20T12:52:08+00:00,23.049070387962274,0.005,1.298924768307994,1.2555988864009848,1.2541898169346308,1.2783354088220094,1.4502285774469923
8,0.620570460474358,1.361465785956911,2026-07-20T12:52:08+00:00,2026-07-20T12:52:31+00:00,23.219804276013747,0.005,1.2788023761067344,1.2388106601852056,1.2421116621281192,1.2816023349397687,1.4416094591273343
9,0.6211525454629429,1.350305255994804,2026-07-20T12:52:31+00:00,2026-07-20T12:52:54+00:00,22.833240884938277,0.005,1.2891163796846696,1.2477233040141549,1.2483021923382833,1.2776533954465907,1.4393151722580901
10,0.6186763351241393,1.361228289177984,2026-07-20T12:52:54+00:00,2026-07-20T12:53:16+00:00,22.272236705990508,0.005,1.2766087978645715,1.2377297523096376,1.2407715326051296,1.2907445192154898,1.4426303802327038
11,0.61873938747112,1.3609933319485215,2026-07-20T12:53:16+00:00,2026-07-20T12:53:37+00:00,21.462485901080072,0.005,1.2794739945049591,1.240382865515258,1.2423011409680838,1.2899369559641372,1.4469160541857902
12,0.6182665505523471,1.3581775671840168,2026-07-20T12:53:37+00:00,2026-07-20T12:53:59+00:00,21.22822466294747,0.005,1.2797996955941524,1.24136744864211,1.2403271779292773,1.2757627350214877,1.4521659220148353
13,0.6173355870110528,1.3517472044578303,2026-07-20T12:53:59+00:00,2026-07-20T12:54:20+00:00,21.23644086299464,0.005,1.2823286617503447,1.2426108563556482,1.2401655603675463,1.2678913308792756,1.450864246913365
14,0.6166302418000095,1.3722187452775272,2026-07-20T12:54:20+00:00,2026-07-20T12:54:41+00:00,21.252665554988198,0.005,1.290825283372557,1.2512818227932596,1.256878062365527,1.2980696763402182,1.48001993512998
15,0.6171763189296777,1.3815069358889795,2026-07-20T12:54:41+00:00,2026-07-20T12:55:03+00:00,21.719581219018437,0.005,1.2816755044906534,1.2434617188980417,1.249503387031526,1.2957813351822773,1.5050249281869397
16,0.6164549048506419,1.3691275963080212,2026-07-20T12:55:03+00:00,2026-07-20T12:55:24+00:00,21.370647598057985,0.005,1.2867520097742744,1.2464605765637775,1.2478595832725623,1.281779124592897,1.4818231831806319
17,0.616325698270562,1.3532029250999549,2026-07-20T12:55:24+00:00,2026-07-20T12:55:46+00:00,22.246013207011856,0.005,1.3019635220171386,1.2612166736215193,1.257603262835008,1.2868025971333246,1.4296878730185256
18,0.6152957500739213,1.3466055648212127,2026-07-20T12:55:46+00:00,2026-07-20T12:56:08+00:00,21.66006963304244,0.005,1.293150627494678,1.2541131252000313,1.25357639816902,1.2821794871249392,1.4249843833462894
19,0.615734706009614,1.336003867973345,2026-07-20T12:56:08+00:00,2026-07-20T12:56:29+00:00,21.10570016107522,0.005,1.2892446966003697,1.2508679769529105,1.249902644350476,1.2736079199246726,1.4178693106923057
20,0.614907626912538,1.404503508685107,2026-07-20T12:56:29+00:00,2026-07-20T12:56:50+00:00,21.146783820935525,0.005,1.3185150226260798,1.2786366919509502,1.2730548616763377,1.3072178143413127,1.5257885483405897
