representation,model,checkpoint_seed,task_id,metric_scope,region_id,receiver,horizon,count,n_origins,mae_db,rmse_db,source_file,source_key,status
2d,autoformer_csa,40,reference-powder-600-800,target_vector,all,,1,,,0.8461706042289734,1.7745380401611328,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,40,reference-powder-600-800,target_vector,all,,15,,,0.8885244727134705,1.8388606309890747,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,40,reference-powder-600-800,target_vector,all,,60,,,0.9997521042823792,2.0086631774902344,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-bands-powder-2400-2600,target_vector,all,,1,,,0.6166620254516602,1.3049873113632202,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-bands-powder-2400-2600,target_vector,all,,15,,,0.6385686993598938,1.4214773178100586,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-bands-powder-2400-2600,target_vector,all,,60,,,0.807852029800415,1.78516948223114,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-bands-powder-3500-3700,target_vector,all,,1,,,0.1257873475551605,0.2998510897159576,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-bands-powder-3500-3700,target_vector,all,,15,,,0.0955792292952537,0.260924369096756,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-bands-powder-3500-3700,target_vector,all,,60,,,0.1009033322334289,0.2652822434902191,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-bands-powder-5725-5925,target_vector,all,,1,,,0.0942258015275001,0.2019078433513641,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-bands-powder-5725-5925,target_vector,all,,15,,,0.0702105015516281,0.1636501997709274,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-bands-powder-5725-5925,target_vector,all,,60,,,0.0718133598566055,0.1610118597745895,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-bands-powder-800-1000,target_vector,all,,1,,,0.715667188167572,2.205854654312134,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-bands-powder-800-1000,target_vector,all,,15,,,0.7214564085006714,2.281902551651001,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-bands-powder-800-1000,target_vector,all,,60,,,0.7861610054969788,2.400238275527954,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
