model,checkpoint_seed,task_id,mae_t1_db,rmse_t1_db,mae_t15_db,rmse_t15_db,mae_t60_db,rmse_t60_db
autoformer_csa,42,new-bands-powder-3500-3700,0.1793504655361175,0.3333063423633575,0.1486419737339019,0.2973811030387878,0.2136740386486053,0.3783316016197204
autoformer_csa,42,new-bands-powder-5725-5925,0.1512111872434616,0.2562555074691772,0.1241598650813102,0.2197949886322021,0.1892541646957397,0.3124217391014099
autoformer_csa,42,new-bands-powder-800-1000,0.7267450094223022,2.2085835933685303,0.698978841304779,2.27688217163086,0.8260040283203125,2.41145920753479
autoformer_csa,42,new-point-powder-600-800,0.975077986717224,1.8200602531433103,1.0064579248428345,1.8679457902908323,1.1260322332382202,2.04041600227356
autoformer_csa,42,new-site-aerpaw-600-800,1.1877995729446411,1.988497495651245,1.2321393489837646,2.079054832458496,1.4404656887054443,2.3497469425201416
autoformer_csa,42,new-site-ara-600-800,1.757668375968933,2.9835774898529053,1.8049670457839968,3.136061191558838,1.9929099082946773,3.557446241378784
autoformer_csa,42,new-site-cosmos-600-800,0.4624086618423462,1.0902462005615234,0.4340077936649322,1.087840557098389,0.4713606834411621,1.1242238283157349
autoformer_csa,42,new-site-new-band-aerpaw-2400-2600,1.0598691701889038,1.82196307182312,1.0333032608032229,1.81158185005188,1.166826844215393,1.968820333480835
autoformer_csa,42,new-site-new-band-ara-2400-2600,1.5067447423934937,2.565553665161133,1.5079337358474731,2.6209847927093506,1.7186758518218994,2.859131336212158
autoformer_csa,42,new-site-new-band-cosmos-2400-2600,0.1225250959396362,0.270294725894928,0.1088405773043632,0.2566750049591064,0.1514258384704589,0.298331469297409
autoformer_csa,42,reference-powder-600-800,0.8554284572601318,1.7855240106582642,0.8859457969665527,1.8391443490982056,0.9935885071754456,1.997281551361084
autoformer_csa,43,new-bands-powder-2400-2600,0.6165518164634705,1.3073731660842896,0.6251102685928345,1.412913203239441,0.8377370834350586,1.8006175756454468
autoformer_csa,43,new-bands-powder-3500-3700,0.1262833774089813,0.2790341377258301,0.1206345334649086,0.270514965057373,0.1199948415160179,0.2780013084411621
autoformer_csa,43,new-bands-powder-5725-5925,0.0961091592907905,0.1870869249105453,0.094612032175064,0.1842343807220459,0.0899877622723579,0.1758233904838562
autoformer_csa,43,new-bands-powder-800-1000,0.8303601741790771,2.246189594268799,0.7352936267852783,2.2846291065216064,0.9356266260147096,2.45312237739563
autoformer_csa,43,new-point-powder-600-800,0.9646937251091005,1.8030099868774407,1.0087971687316897,1.8663917779922483,1.1491141319274902,2.0717556476593018
autoformer_csa,43,new-site-aerpaw-600-800,1.2024070024490356,1.99564528465271,1.2421284914016724,2.084195375442505,1.466861367225647,2.375115871429444
autoformer_csa,43,new-site-ara-600-800,1.7729296684265137,2.988738775253296,1.8161349296569824,3.139293670654297,2.027274370193481,3.5779874324798584
autoformer_csa,43,new-site-cosmos-600-800,0.4898539185523987,1.104802131652832,0.4380503892898559,1.087475061416626,0.523036777973175,1.160698175430298
autoformer_csa,43,new-site-new-band-aerpaw-2400-2600,1.0540908575057983,1.8067203760147093,1.0397670269012451,1.8180261850357056,1.1542965173721311,1.956892013549805
autoformer_csa,43,new-site-new-band-ara-2400-2600,1.5215680599212646,2.574826240539551,1.5131524801254272,2.625141859054565,1.7299070358276367,2.872278213500977
autoformer_csa,43,new-site-new-band-cosmos-2400-2600,0.0915246680378913,0.2471800446510315,0.0846039205789566,0.2402357012033462,0.1038353592157363,0.2543753385543823
autoformer_csa,43,reference-powder-600-800,0.8494154214859009,1.7757327556610107,0.8921973705291748,1.8393843173980715,1.002159595489502,2.008674144744873
autoformer_csa,44,new-bands-powder-2400-2600,0.5843244194984436,1.287870168685913,0.6414000391960144,1.4181361198425293,0.8056828379631042,1.784974217414856
autoformer_csa,44,new-bands-powder-3500-3700,0.1416610777378082,0.2972584962844848,0.1302176862955093,0.2921920418739319,0.104227103292942,0.2673134803771972
autoformer_csa,44,new-bands-powder-5725-5925,0.1188727691769599,0.2171546816825866,0.1100908741354942,0.2141259759664535,0.078710950911045,0.1686866730451584
autoformer_csa,44,new-bands-powder-800-1000,0.6920138597488403,2.199052333831787,0.7184418439865112,2.280726194381714,0.7600945234298706,2.39504623413086
autoformer_csa,44,new-point-powder-600-800,0.9663310647010804,1.8072549104690552,1.0105482339859009,1.8715662956237795,1.1467097997665403,2.0686254501342773
autoformer_csa,44,new-site-aerpaw-600-800,1.157353758811951,1.955600380897522,1.235105276107788,2.081416130065918,1.4207956790924072,2.335755109786988
autoformer_csa,44,new-site-ara-600-800,1.7257883548736572,2.957960367202759,1.806203842163086,3.136372804641724,1.9681923389434808,3.536172151565552
autoformer_csa,44,new-site-cosmos-600-800,0.4510645270347595,1.0790966749191284,0.4618787467479706,1.1030930280685425,0.4567629992961883,1.1179134845733645
autoformer_csa,44,new-site-new-band-aerpaw-2400-2600,1.007880449295044,1.7651299238204956,1.0345631837844849,1.813289284706116,1.0996063947677612,1.909210085868836
autoformer_csa,44,new-site-new-band-ara-2400-2600,1.4467449188232422,2.5390217304229736,1.5111442804336548,2.6228742599487305,1.6534795761108398,2.831616878509521
autoformer_csa,44,new-site-new-band-cosmos-2400-2600,0.1389122903347015,0.2931065559387207,0.1164069697260856,0.2665936052799225,0.1099468022584915,0.2606037557125091
autoformer_csa,44,reference-powder-600-800,0.8435046076774597,1.7722994089126587,0.8870054483413696,1.8399834632873533,0.9983102083206176,2.006105422973633
linearar2d,40,new-bands-powder-2400-2600,0.53825443983078,1.164742350578308,0.6821534633636475,1.356024146080017,1.0386271476745603,1.8565406799316408
linearar2d,40,new-bands-powder-3500-3700,0.1407405883073806,0.2792817056179046,0.2519359886646271,0.43616583943367,0.5253064632415771,0.8765782713890076
linearar2d,40,new-bands-powder-5725-5925,0.1203097850084304,0.2101897001266479,0.2350060790777206,0.3939903676509857,0.5133033990859985,0.8594082593917847
linearar2d,40,new-bands-powder-800-1000,0.6608381271362305,2.0747053623199463,0.810084342956543,2.3301448822021484,1.1139739751815796,2.5562477111816406
