representation,model,campaign_path,trial_id,seed,run_status,objective_name,objective,val_mean_horizon_mae_db,val_mae_db_t1,val_mae_db_t15,val_mae_db_t60,test_mean_horizon_mae_db,test_mean_horizon_rmse_db,test_mae_db_t1,test_mae_db_t15,test_mae_db_t60,test_rmse_db_t1,test_rmse_db_t15,test_rmse_db_t60,training_time_seconds,ray_trial_time_seconds,checkpoint_path
1d,vanillalstm1d,spectrum-usage/ray/eval-hpo-winner-seed40-5ep-v1/vanillalstm1d/vanillalstm1d-replicate,56c84_00000,40,completed,val_mean_horizon_mae_db,0.93976,0.93976,0.82594,0.9276,1.06574,0.90698,1.8624633333333331,0.79814,0.89347,1.02933,1.73141,1.83825,2.01773,14472.02198,14472.02198,
1d,residualvanillalstm,spectrum-usage/ray/eval-hpo-winner-seed40-5ep-v1/residualvanillalstm/residualvanillalstm-replicate,57217_00000,40,completed,val_mean_horizon_mae_db,0.92349,0.92349,0.82567,0.91087,1.03394,0.86997,1.8171833333333334,0.78183,0.85823,0.96984,1.70186,1.79373,1.95596,16046.42862,16046.42862,
1d,vanillalstm1d,spectrum-usage/ray/eval-hpo-winner-seed42-v1/vanillalstm1d/vanillalstm1d-replicate,25b30_00000,42,completed,val_mean_horizon_mae_db,0.91819,0.91819,0.82108,0.90574,1.02774,0.88554,1.85111,0.79433,0.87204,0.99024,1.73468,1.82897,1.98968,0,456.71181,
1d,residualvanillalstm,spectrum-usage/ray/eval-hpo-winner-seed42-v1/residualvanillalstm/residualvanillalstm-replicate,26109_00000,42,completed,val_mean_horizon_mae_db,0.92102,0.92102,0.82117,0.90961,1.03229,0.86553,1.8183433333333332,0.7772,0.85535,0.96403,1.7007,1.79627,1.95806,0,530.70836,
1d,lookbackmean1d,deterministic-all-bins,,,deterministic,val_mean_horizon_mae_db,1.0067682067553203,1.0067682067553203,0.9430134296417236,0.9791904091835022,1.0981007814407349,0.8884025812149048,1.8421082894007366,0.8361920118331909,0.8662163615226746,0.9627993702888489,1.762534499168396,1.81125807762146,1.9525322914123535,0,,
1d,linearar1d,spectrum-usage/spectrum-usage/ray/linearar1d-all-bins-train,3c6c9_00000,40,completed,val_mean_horizon_mae_db,0.9240296698381666,0.9240296698381666,0.8389875076621222,0.90918193583314,1.0239195660192377,0.8661515712738037,1.8154971996943157,0.7909072637557983,0.8512409925460815,0.9563064575195312,1.7101635932922363,1.7925810813903809,1.9437469244003296,8213.941968202591,8216,spectrum-usage/spectrum-usage/ray/linearar1d-all-bins-train/linearar1d-all-bins-train/trainable_3c6c9_00000_0_seed=40_2026-07-30_13-26-13/checkpoint_000000/checkpoints/powder_600_800_linearar1d.pt
1d,linearar1d,spectrum-usage/spectrum-usage/ray/linearar1d-all-bins-train,3c6c9_00001,41,completed,val_mean_horizon_mae_db,0.9263582885316568,0.9263582885316568,0.8388089325296256,0.9110109961410319,1.029254936924313,0.8691909710566202,1.816280206044515,0.7911532521247864,0.8533661961555481,0.9630534648895264,1.7102437019348145,1.7931382656097412,1.9454586505889893,8349.743906021118,8352,spectrum-usage/spectrum-usage/ray/linearar1d-all-bins-train/linearar1d-all-bins-train/trainable_3c6c9_00001_1_seed=41_2026-07-30_13-26-13/checkpoint_000000/checkpoints/powder_600_800_linearar1d.pt
1d,linearar1d,spectrum-usage/spectrum-usage/ray/linearar1d-all-bins-train,3c6c9_00002,42,completed,val_mean_horizon_mae_db,0.922042946724511,0.922042946724511,0.8363879464978495,0.9070581301758213,1.0226827634998623,0.8619234561920166,1.8169116973876953,0.7875954508781433,0.8471240401268005,0.951050877571106,1.7100917100906372,1.7927619218826294,1.9478814601898193,8186.387144327164,8189,spectrum-usage/spectrum-usage/ray/linearar1d-all-bins-train/linearar1d-all-bins-train/trainable_3c6c9_00002_2_seed=42_2026-07-30_13-26-13/checkpoint_000000/checkpoints/powder_600_800_linearar1d.pt
1d,linearar1d,spectrum-usage/spectrum-usage/ray/linearar1d-all-bins-train,3c6c9_00003,43,completed,val_mean_horizon_mae_db,0.9270632826741504,0.9270632826741504,0.8396682501304159,0.9127879721744295,1.0287336257176058,0.867335299650828,1.8178752263387044,0.7910177707672119,0.8532710075378418,0.9577171206474304,1.7103474140167236,1.7944557666778564,1.9488224983215332,8396.126521110535,8398,spectrum-usage/spectrum-usage/ray/linearar1d-all-bins-train/linearar1d-all-bins-train/trainable_3c6c9_00003_3_seed=43_2026-07-30_13-26-13/checkpoint_000000/checkpoints/powder_600_800_linearar1d.pt
1d,linearar1d,spectrum-usage/spectrum-usage/ray/linearar1d-all-bins-train,3c6c9_00004,44,completed,val_mean_horizon_mae_db,0.9265982750243461,0.9265982750243461,0.8387684365138482,0.9105082048929192,1.0305181836662707,0.8699253598848978,1.8155725002288818,0.7911757230758667,0.8534764647483826,0.9651238918304443,1.7095212936401367,1.7920761108398438,1.945120096206665,8200.483036756516,8203,spectrum-usage/spectrum-usage/ray/linearar1d-all-bins-train/linearar1d-all-bins-train/trainable_3c6c9_00004_4_seed=44_2026-07-30_13-26-13/checkpoint_000000/checkpoints/powder_600_800_linearar1d.pt
