model_name,seed,band_id,entropy,deterministic,start_mhz,end_mhz,bin_count,behavior_category,is_noise_floor,entropy_receiver_count,entropy_train_timesteps_per_receiver,entropy_definition,entropy_scope,E_unc_normalized,E_actual_normalized,diff_E_actual_normalized,weighted_transition_entropy_normalized,temporal_structure_score,fano_predictability,t1_n_forecast_origins,t1_n_values,t1_mae_db,t1_rmse_db,t1_mse_db2,t1_median_ae_db,t1_p90_ae_db,t1_bias_db,t15_n_forecast_origins,t15_n_values,t15_mae_db,t15_rmse_db,t15_mse_db2,t15_median_ae_db,t15_p90_ae_db,t15_bias_db,t60_n_forecast_origins,t60_n_values,t60_mae_db,t60_rmse_db,t60_mse_db2,t60_median_ae_db,t60_p90_ae_db,t60_bias_db,mean_horizon_mae_db,mean_horizon_rmse_db,mean_horizon_mse_db2,mean_horizon_median_ae_db,mean_horizon_p90_ae_db,mean_horizon_bias_db
autoformer_csa,40,R1,0.39650222958108217,False,600.5,607.5,8,mixed_activity,False,6,5627,diff_E_actual_normalized,T4_training_interval_only,0.25162632143389324,0.11152525825143458,0.39650222958108217,0.008014298753194187,0.523427649749036,0.9621322982285001,21777,174216,0.3682879993025142,0.584504219294722,0.3416451823733324,0.21927642822265625,0.86578369140625,-0.010050468735607956,21777,174216,0.4302779621299964,0.663802639951445,0.4406339448065077,0.26305389404296875,1.0129165649414062,-0.01658017106438743,21777,174216,0.5884968257122265,0.8707979057519805,0.758288992662035,0.3761405944824219,1.3991737365722656,-0.004704724977609512,0.46235426238157906,0.7063682549993825,0.5135227066139584,0.28615697224934894,1.0926246643066406,-0.010445121592534967
autoformer_csa,40,R2,0.3813473974382061,False,608.5,621.5,14,noise_floor,True,6,5627,diff_E_actual_normalized,T4_training_interval_only,0.0,0.042246286842230855,0.3813473974382061,0.0,0.0,0.9880792655466503,21777,304878,0.026884401081289328,0.0972027983981896,0.00944838401643909,0.013275146484375,0.055450439453125,-0.0006474577696088681,21777,304878,0.027794473201998526,0.10000312349328991,0.010000624708414192,0.0137481689453125,0.05722503662109357,-0.0007203571025618239,21777,304878,0.030574066544682678,0.10156221966487057,0.010314884463255422,0.01556396484375,0.06287078857421857,-0.0007431742668571014,0.028417646942656843,0.09958938051878335,0.009921297729369567,0.014195760091145834,0.05851542154947905,-0.0007036630463425978
autoformer_csa,40,R3,0.7622720172565063,False,622.5,641.5,20,bursty_short_timescale,False,6,5627,diff_E_actual_normalized,T4_training_interval_only,0.5445916903912995,0.4926456908102147,0.7622720172565063,0.053982212273422425,0.11332537336236848,0.7579491906521796,21777,435540,2.0270648469148482,2.850463939394921,8.125144669790812,1.4454994201660156,4.48600082397461,0.07631357048214393,21777,435540,2.1217237444244077,2.9651360484628357,8.7920317858938,1.5175552368164062,4.702423858642579,0.09196996254856803,21777,435540,2.340056776730007,3.2074066356973994,10.287457326715709,1.7227897644042969,5.151663208007815,0.0774353739588737,2.162948456023088,3.0076688745183855,9.068211260800107,1.5619481404622395,4.780029296875001,0.08190630232986189
autoformer_csa,40,R4,0.5274346903045166,False,642.5,646.5,5,mixed_activity,False,6,5627,diff_E_actual_normalized,T4_training_interval_only,0.325643640321565,0.2876126360103498,0.5274346903045166,0.02554396637611158,0.04549458001737833,0.8805007292712161,21777,108885,0.7847408520473058,1.2904850864522384,1.665351758355641,0.4569549560546875,1.8193801879882814,0.01562616019208016,21777,108885,0.832213654014292,1.3543797453988948,1.8343444947467753,0.48915863037109375,1.950848388671877,0.023935763540415527,21777,108885,0.9400289654375934,1.4772446642191515,2.1822517979639535,0.5647430419921875,2.2560653686523438,0.03390480430733705,0.8523278238330637,1.3740364986900948,1.89398268368879,0.5036188761393229,2.008764648437501,0.02448890934661091
autoformer_csa,40,R5,0.5594716849161243,False,647.5,655.5,9,diurnal_pattern,False,6,5627,diff_E_actual_normalized,T4_training_interval_only,0.512041849683348,0.28506540427102,0.5594716849161243,0.021922065549506885,0.4410138331526379,0.8819371436247351,21777,195993,1.013776164178877,1.5860375369301707,2.5155150685515224,0.6365814208984375,2.341429138183594,0.09705709454565531,21777,195993,1.1659149812448832,1.871791405853061,3.5036030670253786,0.698883056640625,2.752684020996094,0.13618630126938178,21777,195993,1.6526068637773141,2.6538236720152026,7.042780082148255,0.9155807495117188,4.370727539062501,0.20383851559905292,1.2774326697336915,2.0372175382661446,4.353966072575052,0.7503484090169271,3.1549468994140626,0.14569397047136334
autoformer_csa,40,R6,0.4887902819461982,False,656.5,675.5,20,mixed_activity,False,6,5627,diff_E_actual_normalized,T4_training_interval_only,0.17525198227625616,0.19145038637460757,0.4887902819461982,0.01535425557780622,0.0,0.9281499425014446,21777,435540,0.6497988375793252,1.158415190696481,1.3419257540363647,0.3034210205078125,1.6426704406738284,0.0206141659339477,21777,435540,0.6816290334318001,1.2059421710040292,1.454296519805911,0.3206939697265625,1.7212791442871107,0.035836536610493804,21777,435540,0.7545118168737461,1.320456679240095,1.7436058417497786,0.361480712890625,1.8981727600097664,0.010273201082310807,0.6953132292949572,1.2282713469802018,1.5132760385306847,0.3285319010416667,1.754040781656902,0.02224130120891744
autoformer_csa,40,R7,0.38166910298506657,False,676.5,690.5,15,noise_floor,True,6,5627,diff_E_actual_normalized,T4_training_interval_only,0.000411726707167013,0.04248849403852325,0.38166910298506657,5.272136754943782e-05,0.0,0.9880000332403367,21777,326655,0.03479468858936697,0.1852831082836776,0.034329830215261,0.0074615478515625,0.0252685546875,0.001405269963043064,21777,326655,0.035632045299922824,0.18908620995941008,0.035753594796814114,0.0074005126953125,0.0246734619140625,0.0019584566891668724,21777,326655,0.03893927587164156,0.1976647936771761,0.039071370659440594,0.0083770751953125,0.029998779296875,0.0012072374556091649,0.03645533658697712,0.19067803730675462,0.03638493189050524,0.007746378580729167,0.026646931966145832,0.0015236547026063671
autoformer_csa,40,R8,0.4977041725532574,False,691.5,728.5,38,mixed_activity,False,6,5627,diff_E_actual_normalized,T4_training_interval_only,0.27814495377916926,0.24836259982101638,0.4977041725532574,0.020340448691521892,0.0959257487660275,0.9007758868250603,21777,827526,0.777963549692224,1.241246382067043,1.5406925809945238,0.47283172607421875,1.7970428466796875,0.01708657673846525,21777,827526,0.8091881965033532,1.2908049848086207,1.6661775088067834,0.492401123046875,1.868865966796875,0.03099732447585224,21777,827526,0.8976455249332269,1.4299699636846566,2.044814097040298,0.5508651733398438,2.0667572021484375,0.0286786672058385,0.8282657570429347,1.3206737768534402,1.7505613956138684,0.5053660074869791,1.910888671875,0.025587522806718666
autoformer_csa,40,R9,0.5194189519159474,False,729.5,734.5,6,mixed_activity,False,6,5627,diff_E_actual_normalized,T4_training_interval_only,0.06314767324783567,0.058693571122243576,0.5194189519159474,0.0008508900666732883,0.04891715050938211,0.982363829323647,21777,130662,0.8618113196366373,1.232224165003379,1.5183763928182745,0.6192245483398438,1.848583984375001,0.02200443926289778,21777,130662,0.8909500126624756,1.2701916178690644,1.6133867461048315,0.6418533325195312,1.9078720092773447,0.03740450560447187,21777,130662,0.9457448113362596,1.3391938085554145,1.7934400568731559,0.68182373046875,2.035951232910157,0.012033833332070235,0.8995020478784576,1.2805365304759526,1.6417343985987543,0.6476338704427084,1.9308024088541675,0.023814259399813298
autoformer_csa,40,R10,0.5881064426765041,False,735.5,740.5,6,intermittent_occupancy,False,6,5627,diff_E_actual_normalized,T4_training_interval_only,0.14279674019118915,0.1517464421396247,0.5881064426765041,0.010914254047603404,0.01416228108506884,0.9411731292001684,21777,130662,0.9624159287808601,1.3388208235899344,1.79244119767803,0.7054100036621094,2.0712699890136728,0.029307889572685184,21777,130662,1.0056373161884289,1.3935356031240596,1.9419414771743364,0.7371139526367188,2.1654945373535157,0.04788460370727227,21777,130662,1.0972149151421957,1.5175685719174965,2.3030143704717094,0.8036766052246094,2.3891845703125005,0.03778633857714555,1.0217560533704948,1.4166416662104968,2.012465681774692,0.7487335205078125,2.20864969889323,0.038326277285701
