representation,model,experiment_path,trial_id,trial_status,selected_winner,objective_name,objective,val_mean_horizon_mae_db,val_mae_db_t1,val_mae_db_t15,val_mae_db_t60,val_loss,forecast_epoch,training_time_seconds,ray_trial_time_seconds,parameters_json,checkpoint_path
1d,vanillalstm1d,spectrum-usage/ray/production-20260730-vanillalstm1d-v5/vanillalstm1d/vanillalstm1d-search,87cf9_00000,completed,True,val_mean_horizon_mae_db,0.91819,0.91819,0.82108,0.90574,1.02774,0.24834,5,58779.70678,58779.70678,"{""architecture"": ""tiny"", ""capacity"": ""tiny"", ""seed"": 42, ""train.batch_size"": 128, ""train.learning_rate"": 0.001, ""train.weight_decay"": 0.0001}",
1d,vanillalstm1d,spectrum-usage/ray/production-20260730-vanillalstm1d-v5/vanillalstm1d/vanillalstm1d-search,87cf9_00001,completed,False,val_mean_horizon_mae_db,0.94607,0.94607,0.82169,0.92831,1.08821,0.25184,5,14897.91028,14897.91028,"{""architecture"": ""small"", ""capacity"": ""small"", ""seed"": 42, ""train.batch_size"": 128, ""train.learning_rate"": 0.001, ""train.weight_decay"": 0.0001}",
1d,vanillalstm1d,spectrum-usage/ray/production-20260730-vanillalstm1d-v5/vanillalstm1d/vanillalstm1d-search,87cf9_00002,completed,False,val_mean_horizon_mae_db,0.94914,0.94914,0.82345,0.9309,1.09308,0.251,5,16348.88724,16348.88724,"{""architecture"": ""reference"", ""capacity"": ""reference"", ""seed"": 42, ""train.batch_size"": 128, ""train.learning_rate"": 0.001, ""train.weight_decay"": 0.0001}",
1d,residualvanillalstm,spectrum-usage/ray/production-20260730-residualvanillalstm1d-v4/residualvanillalstm/residualvanillalstm-search,21a68_00000,completed,True,val_mean_horizon_mae_db,0.92102,0.92102,0.82117,0.90961,1.03229,0.26658,4,62429.98755,62429.98755,"{""architecture"": ""tiny"", ""capacity"": ""tiny"", ""seed"": 42, ""train.batch_size"": 128, ""train.learning_rate"": 0.001, ""train.weight_decay"": 0.0001}",
1d,residualvanillalstm,spectrum-usage/ray/production-20260730-residualvanillalstm1d-v4/residualvanillalstm/residualvanillalstm-search,21a68_00001,completed,False,val_mean_horizon_mae_db,0.92319,0.92319,0.82122,0.9118,1.03656,0.26699,6,64052.80322,64052.80322,"{""architecture"": ""small"", ""capacity"": ""small"", ""seed"": 42, ""train.batch_size"": 128, ""train.learning_rate"": 0.001, ""train.weight_decay"": 0.0001}",
1d,residualvanillalstm,spectrum-usage/ray/production-20260730-residualvanillalstm1d-v4/residualvanillalstm/residualvanillalstm-search,21a68_00002,completed,False,val_mean_horizon_mae_db,0.99246,0.99246,0.83925,0.95936,1.17878,0.26903,15,48840.27401,48840.27401,"{""architecture"": ""reference"", ""capacity"": ""reference"", ""seed"": 42, ""train.batch_size"": 128, ""train.learning_rate"": 0.001, ""weight_decay"": 0.0001}",
1d,linearar1d,spectrum-usage/spectrum-usage/ray/production-20260728-linear-v1/linearar1d/linearar1d-search,cf41a_00000,completed,False,val_mean_horizon_mae_db,0.9916714370797166,0.9916714370797166,0.9066189123529573,0.9705445367580647,1.0978508621281275,0.25281403675194103,9,47.52,52.502378702163696,"{""architecture"": ""tiny"", ""capacity"": ""tiny"", ""seed"": 42, ""train.batch_size"": 64, ""train.learning_rate"": 0.001}",spectrum-usage/spectrum-usage/ray/production-20260728-linear-v1/linearar1d/linearar1d-search/trainable_cf41a_00000_0_2026-07-28_19-44-56/checkpoint_000000/checkpoints/powder_700_5_linearar1d.pt
1d,linearar1d,spectrum-usage/spectrum-usage/ray/production-20260728-linear-v1/linearar1d/linearar1d-search,cf41a_00001,completed,False,val_mean_horizon_mae_db,0.9917736988270572,0.9917736988270572,0.9069645806391252,0.9706040281795836,1.0977524876624625,0.2528198719317944,9,47.76,52.544105768203735,"{""architecture"": ""small"", ""capacity"": ""small"", ""seed"": 42, ""train.batch_size"": 64, ""train.learning_rate"": 0.001}",spectrum-usage/spectrum-usage/ray/production-20260728-linear-v1/linearar1d/linearar1d-search/trainable_cf41a_00001_1_2026-07-28_19-44-56/checkpoint_000000/checkpoints/powder_700_5_linearar1d.pt
1d,linearar1d,spectrum-usage/spectrum-usage/ray/production-20260728-linear-v1/linearar1d/linearar1d-search,cf41a_00002,pruned,False,val_mean_horizon_mae_db,1.0187838781029375,1.0187838781029375,0.9417441236590786,0.9914971299163026,1.1231103807334313,0.2545869605140556,5,,26.176120042800903,"{""architecture"": ""reference"", ""capacity"": ""reference"", ""seed"": 42, ""train.batch_size"": 64, ""train.learning_rate"": 0.001}",
1d,linearar1d,spectrum-usage/spectrum-usage/ray/production-20260728-linear-v1/linearar1d/linearar1d-search,cf41a_00003,pruned,False,val_mean_horizon_mae_db,1.9092377701883751,1.9092377701883751,1.1559789671068867,1.2834414434709724,3.2882928999872663,0.8004099375429913,5,,18.462342739105225,"{""architecture"": ""tiny"", ""capacity"": ""random"", ""seed"": 42, ""train.batch_size"": 128, ""train.learning_rate"": 0.0001222236112497393}",
