representation,model,campaign_path,trial_id,seed,run_status,objective_name,objective,val_mean_horizon_mae_db,val_mae_db_t1,val_mae_db_t15,val_mae_db_t60,test_mean_horizon_mae_db,test_mean_horizon_rmse_db,test_mae_db_t1,test_mae_db_t15,test_mae_db_t60,test_rmse_db_t1,test_rmse_db_t15,test_rmse_db_t60,training_time_seconds,ray_trial_time_seconds,checkpoint_path
4d,residualconvlstm,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/residualconvlstm,00000_0,40,completed,val_mean_horizon_mae_db,0.963148,0.963148,0.908944,0.940493,1.040006,0.650600,,0.600256,0.627781,0.723765,1.243067,1.288487,1.436583,34501.23,,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/residualconvlstm/residualconvlstm-replicate/trainable_70ec0_00000_0_seed=40_2026-07-29_19-26-47/checkpoint_000001/checkpoints/powder_600_800_t4t6_residualconvlstm.pt
4d,residualconvlstm,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/residualconvlstm,00001_1,41,completed,val_mean_horizon_mae_db,0.963011,0.963011,0.908854,0.940381,1.039797,0.650455,,0.600161,0.627665,0.723539,1.243055,1.288468,1.436506,36428.46,,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/residualconvlstm/residualconvlstm-replicate/trainable_70ec0_00001_1_seed=41_2026-07-29_19-26-47/checkpoint_000001/checkpoints/powder_600_800_t4t6_residualconvlstm.pt
4d,residualconvlstm,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/residualconvlstm-retry-v1,00000_0,42,completed,val_mean_horizon_mae_db,0.963082,0.963082,0.908900,0.940444,1.039904,0.650529,,0.600209,0.627724,0.723656,1.243060,1.288476,1.436539,2574.55,,spectrum-usage/ray/production-20260729-replicate-v2/residualconvlstm-retry-v1/residualconvlstm-replicate/trainable_79f9e_00000_0_seed=42_2026-07-30_13-49-25/checkpoint_000000/checkpoints/powder_600_800_t4t6_residualconvlstm.pt
4d,residualconvlstm,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/residualconvlstm-retry-v1,00001_1,43,completed,val_mean_horizon_mae_db,0.963029,0.963029,0.908863,0.940398,1.039827,0.650472,,0.600171,0.627678,0.723567,1.243055,1.288469,1.436512,35070.52,,spectrum-usage/ray/production-20260729-replicate-v2/residualconvlstm-retry-v1/residualconvlstm-replicate/trainable_79f9e_00001_1_seed=43_2026-07-30_13-49-25/checkpoint_000001/checkpoints/powder_600_800_t4t6_residualconvlstm.pt
4d,residuallinearar4d,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/residuallinearar4d,00000_0,40,completed,val_mean_horizon_mae_db,0.930298,0.930298,0.849277,0.917955,1.023661,0.621266,,0.551474,0.606409,0.705915,1.183216,1.263180,1.415528,4604.93,,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/residuallinearar4d/residuallinearar4d-replicate/trainable_c701c_00000_0_seed=40_2026-07-29_00-31-02/checkpoint_000001/checkpoints/powder_600_800_t4t6_residuallinearar4d.pt
4d,residuallinearar4d,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/residuallinearar4d,00001_1,41,completed,val_mean_horizon_mae_db,0.931189,0.931189,0.849752,0.918009,1.025808,0.623490,,0.552201,0.608147,0.710120,1.183793,1.263837,1.418125,4364.45,,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/residuallinearar4d/residuallinearar4d-replicate/trainable_c701c_00001_1_seed=41_2026-07-29_00-31-02/checkpoint_000001/checkpoints/powder_600_800_t4t6_residuallinearar4d.pt
4d,residuallinearar4d,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/residuallinearar4d,00002_2,42,completed,val_mean_horizon_mae_db,0.930043,0.930043,0.848894,0.917467,1.023770,0.621464,,0.551476,0.606330,0.706585,1.183016,1.262501,1.416176,1311.43,,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/residuallinearar4d/residuallinearar4d-replicate/trainable_c701c_00002_2_seed=42_2026-07-29_00-31-02/checkpoint_000000/checkpoints/powder_600_800_t4t6_residuallinearar4d.pt
4d,residuallinearar4d,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/residuallinearar4d,00003_3,43,completed,val_mean_horizon_mae_db,0.930268,0.930268,0.848904,0.918537,1.023364,0.621889,,0.551430,0.606543,0.707695,1.182811,1.262373,1.416466,5007.54,,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/residuallinearar4d/residuallinearar4d-replicate/trainable_c701c_00003_3_seed=43_2026-07-29_00-31-02/checkpoint_000001/checkpoints/powder_600_800_t4t6_residuallinearar4d.pt
4d,residuallinearar4d,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/residuallinearar4d,00004_4,44,completed,val_mean_horizon_mae_db,0.930288,0.930288,0.849801,0.917548,1.023516,0.621057,,0.551513,0.606336,0.705322,1.183184,1.263050,1.414905,5125.16,,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/residuallinearar4d/residuallinearar4d-replicate/trainable_c701c_00004_4_seed=44_2026-07-29_00-31-02/checkpoint_000001/checkpoints/powder_600_800_t4t6_residuallinearar4d.pt
4d,dswinlstm_i,spectrum-usage/spectrum-usage/ray/production-20260730-dswin-seed42/dswinlstm_i,a9e3c_00000,42,completed,val_mean_horizon_mae_db,1.200618,1.200618,1.250062,1.174038,1.177755,1.012955,,1.010574,0.981148,1.047144,1.755718,1.792025,1.889176,92.70,,spectrum-usage/spectrum-usage/ray/production-20260730-dswin-seed42/dswinlstm_i/dswinlstm_i-replicate/trainable_a9e3c_00000_0_seed=42_2026-07-30_14-40-52/checkpoint_000000/checkpoints/powder_600_800_t4t6_dswinlstm_i.pt
4d,lookbackmean4d,deterministic,,,deterministic,val_mean_horizon_mae_db,0.962840,0.962840,0.908740,0.940250,1.039540,0.650270,1.322637,0.600040,0.627510,0.723250,1.243040,1.288450,1.436420,0,,
