representation,model,campaign_path,trial_id,seed,run_status,objective_name,objective,val_mean_horizon_mae_db,val_mae_db_t1,val_mae_db_t15,val_mae_db_t60,test_mean_horizon_mae_db,test_mean_horizon_rmse_db,test_mae_db_t1,test_mae_db_t15,test_mae_db_t60,test_rmse_db_t1,test_rmse_db_t15,test_rmse_db_t60,training_time_seconds,ray_trial_time_seconds,checkpoint_path
4d,convlstm,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/convlstm,00000_0,40,completed,val_mean_horizon_mae_db,1.233624,1.233624,1.202803,1.236803,1.261267,0.972644,,0.903846,0.971912,1.042174,1.643131,1.785849,1.869538,15666.19,,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/convlstm/convlstm-replicate/trainable_70883_00000_0_seed=40_2026-07-29_19-26-47/checkpoint_000000/checkpoints/powder_600_800_t4t6_convlstm.pt
4d,convlstm,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/convlstm,00001_1,41,completed,val_mean_horizon_mae_db,1.238670,1.238670,1.191648,1.246529,1.277832,0.947957,,0.887512,0.943339,1.013019,1.626814,1.770470,1.856359,16577.49,,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/convlstm/convlstm-replicate/trainable_70883_00001_1_seed=41_2026-07-29_19-26-47/checkpoint_000000/checkpoints/powder_600_800_t4t6_convlstm.pt
4d,convlstm,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/convlstm-retry-v2,00000_0,42,completed,val_mean_horizon_mae_db,1.241476,1.241476,1.182822,1.245177,1.296430,0.985997,,0.884487,0.971453,1.102050,1.618963,1.787039,1.930831,1256.32,,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/convlstm-retry-v2/convlstm-replicate/trainable_c7f66_00000_0_seed=42_2026-07-29_22-21-01/checkpoint_000000/checkpoints/powder_600_800_t4t6_convlstm.pt
4d,convlstm,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/convlstm,00003_3,43,completed,val_mean_horizon_mae_db,1.252678,1.252678,1.199209,1.254334,1.304490,0.989948,,0.901832,0.964363,1.103648,1.646641,1.763148,1.946191,17728.83,,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/convlstm/convlstm-replicate/trainable_70883_00003_3_seed=43_2026-07-29_19-26-47/checkpoint_000001/checkpoints/powder_600_800_t4t6_convlstm.pt
4d,convlstm,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/convlstm-retry-v2,00001_1,44,completed,val_mean_horizon_mae_db,1.237543,1.237543,1.211957,1.238270,1.262401,0.978121,,0.910465,0.966559,1.057340,1.656230,1.766336,1.880979,18137.95,,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/convlstm-retry-v2/convlstm-replicate/trainable_c7f66_00001_1_seed=44_2026-07-29_22-21-01/checkpoint_000001/checkpoints/powder_600_800_t4t6_convlstm.pt
4d,linearar4d,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/linearar4d,00000_0,40,completed,val_mean_horizon_mae_db,0.934293,0.934293,0.858206,0.919763,1.024908,0.633748,,0.559388,0.614238,0.727619,1.188021,1.263939,1.419925,3948.48,,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/linearar4d/linearar4d-replicate/trainable_c69b5_00000_0_seed=40_2026-07-29_00-31-01/checkpoint_000001/checkpoints/powder_600_800_t4t6_linearar4d.pt
4d,linearar4d,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/linearar4d,00001_1,41,completed,val_mean_horizon_mae_db,0.939546,0.939546,0.868345,0.923437,1.026857,0.641311,,0.568584,0.620762,0.734587,1.195382,1.267835,1.426789,3728.10,,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/linearar4d/linearar4d-replicate/trainable_c69b5_00001_1_seed=41_2026-07-29_00-31-01/checkpoint_000001/checkpoints/powder_600_800_t4t6_linearar4d.pt
4d,linearar4d,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/linearar4d,00002_2,42,completed,val_mean_horizon_mae_db,0.935807,0.935807,0.860428,0.921097,1.025894,0.638892,,0.562158,0.618446,0.736073,1.190113,1.266928,1.430202,1095.99,,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/linearar4d/linearar4d-replicate/trainable_c69b5_00002_2_seed=42_2026-07-29_00-31-01/checkpoint_000000/checkpoints/powder_600_800_t4t6_linearar4d.pt
4d,linearar4d,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/linearar4d,00003_3,43,completed,val_mean_horizon_mae_db,0.937694,0.937694,0.860340,0.924014,1.028729,0.641911,,0.562304,0.621261,0.742166,1.188297,1.266166,1.428157,4029.39,,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/linearar4d/linearar4d-replicate/trainable_c69b5_00003_3_seed=43_2026-07-29_00-31-01/checkpoint_000001/checkpoints/powder_600_800_t4t6_linearar4d.pt
4d,linearar4d,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/linearar4d,00004_4,44,completed,val_mean_horizon_mae_db,0.941474,0.941474,0.865352,0.926282,1.032787,0.642901,,0.565590,0.621585,0.741529,1.191231,1.266150,1.424547,3242.91,,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/linearar4d/linearar4d-replicate/trainable_c69b5_00004_4_seed=44_2026-07-29_00-31-01/checkpoint_000001/checkpoints/powder_600_800_t4t6_linearar4d.pt
