model,seed,chunk_id,bin_mhz,site,split,horizon,mae_db,rmse_db
autoformer_csa,40,powder_600_800_t4t6,650.5,unknown,2d_test,1,1.0691334009170532,1.6812524795532229
autoformer_csa,40,powder_600_800_t4t6,651.5,unknown,2d_test,1,1.01818585395813,1.6997464895248413
autoformer_csa,40,powder_600_800_t4t6,652.5,unknown,2d_test,1,1.0771831274032593,1.6930453777313232
autoformer_csa,40,powder_600_800_t4t6,653.5,unknown,2d_test,1,1.054030418395996,1.610434889793396
autoformer_csa,40,powder_600_800_t4t6,654.5,unknown,2d_test,1,1.0477776527404783,1.6017720699310305
autoformer_csa,40,powder_600_800_t4t6,655.5,unknown,2d_test,1,0.8389522433280945,1.2645342350006104
autoformer_csa,40,powder_600_800_t4t6,656.5,unknown,2d_test,1,0.4965392649173736,0.8741857409477234
autoformer_csa,40,powder_600_800_t4t6,657.5,unknown,2d_test,1,0.8309441208839417,1.4846066236495972
autoformer_csa,40,powder_600_800_t4t6,658.5,unknown,2d_test,1,0.6926888823509216,1.2258769273757937
autoformer_csa,40,powder_600_800_t4t6,659.5,unknown,2d_test,1,0.8206366300582886,1.436084508895874
autoformer_csa,40,powder_600_800_t4t6,660.5,unknown,2d_test,1,0.7016139626502991,1.20730721950531
autoformer_csa,40,powder_600_800_t4t6,661.5,unknown,2d_test,1,0.4405370056629181,0.9438516497612
autoformer_csa,40,powder_600_800_t4t6,662.5,unknown,2d_test,1,0.5548726320266724,1.2322458028793335
autoformer_csa,40,powder_600_800_t4t6,663.5,unknown,2d_test,1,0.7600853443145752,1.2213022708892822
autoformer_csa,40,powder_600_800_t4t6,664.5,unknown,2d_test,1,0.7863936424255371,1.29668927192688
autoformer_csa,40,powder_600_800_t4t6,665.5,unknown,2d_test,1,0.7772943377494812,1.2984890937805176
autoformer_csa,40,powder_600_800_t4t6,666.5,unknown,2d_test,1,0.7874776124954224,1.306326150894165
autoformer_csa,40,powder_600_800_t4t6,667.5,unknown,2d_test,1,0.7088060975074768,1.1728254556655884
autoformer_csa,40,powder_600_800_t4t6,668.5,unknown,2d_test,1,0.736791729927063,1.198656678199768
autoformer_csa,40,powder_600_800_t4t6,669.5,unknown,2d_test,1,0.7575061321258545,1.23156476020813
autoformer_csa,40,powder_600_800_t4t6,670.5,unknown,2d_test,1,0.7282603979110718,1.220786690711975
autoformer_csa,40,powder_600_800_t4t6,671.5,unknown,2d_test,1,0.5485768914222717,0.9497935175895692
autoformer_csa,40,powder_600_800_t4t6,672.5,unknown,2d_test,1,0.616860568523407,1.0678690671920776
autoformer_csa,40,powder_600_800_t4t6,673.5,unknown,2d_test,1,0.5037710070610046,0.9249802827835084
autoformer_csa,40,powder_600_800_t4t6,674.5,unknown,2d_test,1,0.3975398242473602,0.7778601050376892
autoformer_csa,40,powder_600_800_t4t6,675.5,unknown,2d_test,1,0.3487805426120758,0.7417866587638855
autoformer_csa,40,powder_600_800_t4t6,676.5,unknown,2d_test,1,0.0099100321531295,0.0715012028813362
autoformer_csa,40,powder_600_800_t4t6,677.5,unknown,2d_test,1,0.0097320368513464,0.0714790821075439
autoformer_csa,40,powder_600_800_t4t6,678.5,unknown,2d_test,1,0.0097633730620145,0.0817050412297248
autoformer_csa,40,powder_600_800_t4t6,679.5,unknown,2d_test,1,0.010269715450704,0.0808885022997856
autoformer_csa,40,powder_600_800_t4t6,680.5,unknown,2d_test,1,0.0097759338095784,0.0734464079141616
autoformer_csa,40,powder_600_800_t4t6,681.5,unknown,2d_test,1,0.0106551377102732,0.0806116908788681
autoformer_csa,40,powder_600_800_t4t6,682.5,unknown,2d_test,1,0.0127738313749432,0.0621150992810726
autoformer_csa,40,powder_600_800_t4t6,683.5,unknown,2d_test,1,0.0110838543623685,0.0899542346596717
autoformer_csa,40,powder_600_800_t4t6,684.5,unknown,2d_test,1,0.0097885653376579,0.0714732259511947
autoformer_csa,40,powder_600_800_t4t6,685.5,unknown,2d_test,1,0.0096356533467769,0.0619728341698646
autoformer_csa,40,powder_600_800_t4t6,686.5,unknown,2d_test,1,0.0289516765624284,0.1449206471443176
autoformer_csa,40,powder_600_800_t4t6,687.5,unknown,2d_test,1,0.0080072721466422,0.0147880250588059
autoformer_csa,40,powder_600_800_t4t6,688.5,unknown,2d_test,1,0.0072476221248507,0.0092034228146076
autoformer_csa,40,powder_600_800_t4t6,689.5,unknown,2d_test,1,0.0074433959089219,0.009449484758079
autoformer_csa,40,powder_600_800_t4t6,690.5,unknown,2d_test,1,0.3668822348117828,0.6613023281097412
autoformer_csa,40,powder_600_800_t4t6,691.5,unknown,2d_test,1,0.4307642877101898,0.7199556231498718
autoformer_csa,40,powder_600_800_t4t6,692.5,unknown,2d_test,1,0.6947776675224304,1.1068347692489624
autoformer_csa,40,powder_600_800_t4t6,693.5,unknown,2d_test,1,0.8065988421440125,1.230701565742493
autoformer_csa,40,powder_600_800_t4t6,694.5,unknown,2d_test,1,0.9125838875770568,1.350858211517334
autoformer_csa,40,powder_600_800_t4t6,695.5,unknown,2d_test,1,1.033198356628418,1.47964346408844
autoformer_csa,40,powder_600_800_t4t6,696.5,unknown,2d_test,1,1.0464025735855105,1.523366928100586
autoformer_csa,40,powder_600_800_t4t6,697.5,unknown,2d_test,1,1.008570671081543,1.5029102563858032
autoformer_csa,40,powder_600_800_t4t6,698.5,unknown,2d_test,1,1.0242180824279783,1.530444622039795
autoformer_csa,40,powder_600_800_t4t6,699.5,unknown,2d_test,1,1.0762286186218262,1.588823914527893
autoformer_csa,40,powder_600_800_t4t6,700.5,unknown,2d_test,1,0.811095654964447,1.2494449615478516
autoformer_csa,40,powder_600_800_t4t6,701.5,unknown,2d_test,1,0.3394144475460052,0.5638653039932251
autoformer_csa,40,powder_600_800_t4t6,702.5,unknown,2d_test,1,0.4556093513965606,0.7285359501838684
autoformer_csa,40,powder_600_800_t4t6,703.5,unknown,2d_test,1,0.4976721704006195,0.7622539401054382
autoformer_csa,40,powder_600_800_t4t6,704.5,unknown,2d_test,1,0.6197423934936523,0.9560900926589966
