model_name,seed,condition,band_id,start_mhz,end_mhz,run_status,campaign_path,trial_id,objective,objective_name,test_mean_horizon_mae_db,test_mean_horizon_rmse_db,test_mae_db_t1,test_rmse_db_t1,test_mae_db_t15,test_rmse_db_t15,test_mae_db_t60,test_rmse_db_t60,test_n_values_t1,test_n_values_t15,test_n_values_t60
autoformer_csa,40,full_context,R1,600.5,607.5,completed,ray/production-20260730-spectral-context-v2/autoformer_csa/autoformer_csa-spectral-context,1dfba_00000,0.5528383670292186,val_mean_horizon_mae_db,0.4692260559104686,0.7113822281021324,0.38240668050742604,0.594746291388692,0.43111010539759975,0.6643988922946061,0.5941613818263801,0.8750015006230992,174216,174216,174216
autoformer_csa,40,full_context,R3,622.5,641.5,completed,ray/production-20260730-spectral-context-v2/autoformer_csa/autoformer_csa-spectral-context,1dfba_00001,2.366001070657724,val_mean_horizon_mae_db,2.192595108253409,3.0397239711489945,2.0446420678051456,2.8689674823490607,2.1313781415966746,2.9763398400752314,2.4017651153584074,3.273864591022691,435540,435540,435540
autoformer_csa,40,full_context,R4,642.5,646.5,completed,ray/production-20260730-spectral-context-v2/autoformer_csa/autoformer_csa-spectral-context,1dfba_00002,1.0206848946118217,val_mean_horizon_mae_db,0.8829825868355635,1.389981512073887,0.8022882819859982,1.2954379152578128,0.8453121432819254,1.3583797081804772,1.001347335238767,1.5161269127833708,108885,108885,108885
autoformer_csa,40,full_context,R5,647.5,655.5,completed,ray/production-20260730-spectral-context-v2/autoformer_csa/autoformer_csa-spectral-context,1dfba_00003,1.5406416714090614,val_mean_horizon_mae_db,1.3347102255388157,2.072195819931039,1.0544113258676773,1.6091331514731184,1.1786012865336983,1.8657330518869824,1.771118064215072,2.741721256433016,195993,195993,195993
autoformer_csa,40,full_context,R6,656.5,675.5,completed,ray/production-20260730-spectral-context-v2/autoformer_csa/autoformer_csa-spectral-context,1dfba_00004,0.8269757260786132,val_mean_horizon_mae_db,0.7084356620517527,1.2324902305445227,0.6739024669981618,1.1680190920287008,0.6910618399601531,1.2106388603481182,0.760342679196943,1.3188127392567495,435540,435540,435540
autoformer_csa,40,full_context,R8,691.5,728.5,completed,ray/production-20260730-spectral-context-v2/autoformer_csa/autoformer_csa-spectral-context,1dfba_00005,1.169866199951815,val_mean_horizon_mae_db,0.862032251988517,1.3551742876029411,0.8156221987532075,1.2779196019015344,0.8453517754624865,1.332022722683945,0.9251227817498568,1.455580538223343,827526,827526,827526
autoformer_csa,40,full_context,R9,729.5,734.5,completed,ray/production-20260730-spectral-context-v2/autoformer_csa/autoformer_csa-spectral-context,1dfba_00006,1.0829739782785948,val_mean_horizon_mae_db,0.9197950412061063,1.3090269617048491,0.8746435689137149,1.2516148847591622,0.8924209045390538,1.2751989921838007,0.9923206501655505,1.4002670081715847,130662,130662,130662
autoformer_csa,40,full_context,R10,735.5,740.5,completed,ray/production-20260730-spectral-context-v2/autoformer_csa/autoformer_csa-spectral-context,1dfba_00007,1.2376719437171717,val_mean_horizon_mae_db,1.029380658222566,1.43031952912303,0.9907508490763696,1.3659815808089306,1.0060654419905717,1.398913458275344,1.0913256836007568,1.5260635482848153,130662,130662,130662
autoformer_csa,40,full_context,R11,741.5,745.5,completed,ray/production-20260730-spectral-context-v2/autoformer_csa/autoformer_csa-spectral-context,1dfba_00008,0.9099347323683095,val_mean_horizon_mae_db,0.7371810268223368,1.1881503819475328,0.6905760290756607,1.1169105381264703,0.7149708531133541,1.1543137823750902,0.8059961982779953,1.2932268253410377,108885,108885,108885
autoformer_csa,40,full_context,R12,746.5,755.5,completed,ray/production-20260730-spectral-context-v2/autoformer_csa/autoformer_csa-spectral-context,1dfba_00009,1.4402601428484736,val_mean_horizon_mae_db,1.4308824186653082,2.029572020579702,1.3598897179060854,1.951164795090082,1.4077991605237445,2.0097310994903825,1.5249583775660944,2.1278201671586405,217770,217770,217770
