task_id,model,seed,horizon,n_targets,mae_db,rmse_db
new-site-cosmos-600-800,vanillalstm1d,42,1,1128200,20.44563102722168,22.99462509155273
new-site-cosmos-600-800,vanillalstm1d,42,15,1128200,16.914968490600586,19.14450454711914
new-site-cosmos-600-800,vanillalstm1d,42,60,1128200,17.319324493408203,19.35704803466797
new-site-cosmos-600-800,residualvanillalstm,42,1,1128200,0.3797898590564728,1.0336525440216064
new-site-cosmos-600-800,residualvanillalstm,42,15,1128200,0.4118554592132568,1.0837551355361938
new-site-cosmos-600-800,residualvanillalstm,42,60,1128200,0.4603011608123779,1.131378173828125
new-site-cosmos-600-800,linearar1d,42,1,1128200,0.3830267488956451,1.0305728912353516
new-site-cosmos-600-800,linearar1d,42,15,1128200,0.4069919884204864,1.0778273344039917
new-site-cosmos-600-800,linearar1d,42,60,1128200,0.4597307443618774,1.123919129371643
new-site-cosmos-600-800,residuallinearar1d,42,1,1128200,0.3821345269680023,1.0317844152450562
new-site-cosmos-600-800,residuallinearar1d,42,15,1128200,0.4002827107906341,1.0796549320220947
new-site-cosmos-600-800,residuallinearar1d,42,60,1128200,0.4288254082202911,1.121664047241211
new-site-new-band-cosmos-2400-2600,vanillalstm1d,42,1,1128200,24.35961532592773,26.94684600830078
new-site-new-band-cosmos-2400-2600,vanillalstm1d,42,15,1128200,20.13936233520508,22.52507972717285
new-site-new-band-cosmos-2400-2600,vanillalstm1d,42,60,1128200,20.48371124267578,22.70569229125977
new-site-new-band-cosmos-2400-2600,residualvanillalstm,42,1,1128200,0.066033124923706,0.2228124588727951
new-site-new-band-cosmos-2400-2600,residualvanillalstm,42,15,1128200,0.085900031030178,0.2384637296199798
new-site-new-band-cosmos-2400-2600,residualvanillalstm,42,60,1128200,0.141946792602539,0.2755350470542907
new-site-new-band-cosmos-2400-2600,linearar1d,42,1,1128200,0.0672365874052047,0.2244861274957656
new-site-new-band-cosmos-2400-2600,linearar1d,42,15,1128200,0.0852419584989547,0.2397602945566177
new-site-new-band-cosmos-2400-2600,linearar1d,42,60,1128200,0.147364929318428,0.2761058211326599
new-site-new-band-cosmos-2400-2600,residuallinearar1d,42,1,1128200,0.0636629909276962,0.2233113199472427
new-site-new-band-cosmos-2400-2600,residuallinearar1d,42,15,1128200,0.0694952756166458,0.2347455620765686
new-site-new-band-cosmos-2400-2600,residuallinearar1d,42,60,1128200,0.0905007869005203,0.2461662888526916
new-site-ara-600-800,vanillalstm1d,42,1,1128400,6.658111095428467,11.140576362609863
new-site-ara-600-800,vanillalstm1d,42,15,1128400,6.570734024047852,10.631230354309082
new-site-ara-600-800,vanillalstm1d,42,60,1128400,6.840309143066406,10.84080410003662
new-site-ara-600-800,residualvanillalstm,42,1,1128400,1.5937862396240234,2.7580246925354004
new-site-ara-600-800,residualvanillalstm,42,15,1128400,1.747915267944336,3.0103588104248047
new-site-ara-600-800,residualvanillalstm,42,60,1128400,1.9379534721374512,3.467912197113037
new-site-ara-600-800,linearar1d,42,1,1128400,1.6046379804611206,2.7558722496032715
new-site-ara-600-800,linearar1d,42,15,1128400,1.7440106868743896,3.017598390579224
new-site-ara-600-800,linearar1d,42,60,1128400,1.9324897527694704,3.460256099700928
new-site-ara-600-800,residuallinearar1d,42,1,1128400,1.5990126132965088,2.7506606578826904
new-site-ara-600-800,residuallinearar1d,42,15,1128400,1.739917874336243,3.011951446533203
new-site-ara-600-800,residuallinearar1d,42,60,1128400,1.9281772375106807,3.4591970443725586
new-site-new-band-ara-2400-2600,vanillalstm1d,42,1,1128400,7.979581832885742,13.597347259521484
new-site-new-band-ara-2400-2600,vanillalstm1d,42,15,1128400,7.542531967163086,12.940068244934082
new-site-new-band-ara-2400-2600,vanillalstm1d,42,60,1128400,7.798357963562012,13.06280517578125
new-site-new-band-ara-2400-2600,residualvanillalstm,42,1,1128400,1.3285930156707764,2.44566011428833
new-site-new-band-ara-2400-2600,residualvanillalstm,42,15,1128400,1.4659011363983154,2.588348627090454
