model_name,seed,condition,band_id,start_mhz,end_mhz,objective,objective_name,test_mean_horizon_mae_db,test_mean_horizon_rmse_db,test_mae_db_t1,test_rmse_db_t1,test_mae_db_t15,test_rmse_db_t15,test_mae_db_t60,test_rmse_db_t60,test_n_values_t1,test_n_values_t15,test_n_values_t60
residuallinearar2d,40,full_context,R1,600.5,607.5,0.4476310786241157,val_mean_horizon_mae_db,0.3863750734300175,0.6256483131301338,0.2548363735049904,0.46859514018835136,0.36266455887029303,0.5959081371851657,0.5416242879147689,0.8124416620168845,174216,174216,174216
residuallinearar2d,41,full_context,R1,600.5,607.5,0.44453035676155467,val_mean_horizon_mae_db,0.38337699600345615,0.6232868226321417,0.25441530818600255,0.4684359007271219,0.3593404418854924,0.5941847742851151,0.5363752379388735,0.8072397928841885,174216,174216,174216
residuallinearar2d,42,full_context,R1,600.5,607.5,0.44762444886700825,val_mean_horizon_mae_db,0.3853340877636835,0.6235335526172703,0.25491514537443594,0.46839651081079453,0.36191731438183744,0.5932913771075132,0.5391698035347772,0.808912769933503,174216,174216,174216
residuallinearar2d,43,full_context,R1,600.5,607.5,0.449535462155215,val_mean_horizon_mae_db,0.38839379073090735,0.6263850395417311,0.2547314838693726,0.4680728641155117,0.3646142467101667,0.5954919092581453,0.5458356416131827,0.8155903452515363,174216,174216,174216
residuallinearar2d,44,full_context,R1,600.5,607.5,0.44642690396888457,val_mean_horizon_mae_db,0.3848148533438547,0.6253108891229783,0.2546932755868921,0.4679546449709674,0.3606198850772639,0.5949419622662571,0.5391313993674082,0.8130360601317106,174216,174216,174216
residuallinearar2d,40,region_only,R1,600.5,607.5,0.4476310786241157,val_mean_horizon_mae_db,0.3863750734300175,0.6256483131301338,0.2548363735049904,0.46859514018835136,0.36266455887029303,0.5959081371851657,0.5416242879147689,0.8124416620168845,174216,174216,174216
residuallinearar2d,41,region_only,R1,600.5,607.5,0.44453035676155467,val_mean_horizon_mae_db,0.38337699600345615,0.6232868226321417,0.25441530818600255,0.4684359007271219,0.3593404418854924,0.5941847742851151,0.5363752379388735,0.8072397928841885,174216,174216,174216
residuallinearar2d,42,region_only,R1,600.5,607.5,0.44762444886700825,val_mean_horizon_mae_db,0.3853340877636835,0.6235335526172703,0.25491514537443594,0.46839651081079453,0.36191731438183744,0.5932913771075132,0.5391698035347772,0.808912769933503,174216,174216,174216
residuallinearar2d,43,region_only,R1,600.5,607.5,0.449535462155215,val_mean_horizon_mae_db,0.38839379073090735,0.6263850395417311,0.2547314838693726,0.4680728641155117,0.3646142467101667,0.5954919092581453,0.5458356416131827,0.8155903452515363,174216,174216,174216
residuallinearar2d,44,region_only,R1,600.5,607.5,0.44642690396888457,val_mean_horizon_mae_db,0.3848148533438547,0.6253108891229783,0.2546932755868921,0.4679546449709674,0.3606198850772639,0.5949419622662571,0.5391313993674082,0.8130360601317106,174216,174216,174216
