epoch,train_loss,val_loss
1,0.4391139504974236,1.4497617277721901
2,0.17873734857716927,1.9843758267197906
3,0.13384006189136513,2.252284494497008
4,0.11269866853423981,0.9807165504175391
5,0.09801889517122847,3.125110747450489
6,0.08958249265687836,0.617789879357074
7,0.08108756322604828,6.539835562140254
8,0.07541963625006598,3.8270011163700772
9,0.0698970981432096,1.0531354418582162
10,0.06788810800013355,3.588432115350066
11,0.06651984358365094,10.325182699214267
12,0.06242615823447938,7.434503477171989
13,0.06379156989578398,2.105587872071455
14,0.06189992301377662,2.309987879068838
15,0.061825964339726314,3.185759032513462
16,0.06209945532809093,6.921288412169548
17,0.058720897060725294,1.3055319873626623
18,0.060523073208981135,239.80954082941605
19,0.059390921168474727,8.427494485499496
20,0.05761768803685534,3.4479256558552973
21,0.057755748985813676,0.6275548635229553
22,0.05745122078429132,3.2626747869502353
23,0.05686180355521549,0.7815112038857519
24,0.053884856857648177,1.8255312106030135
25,0.05760828761838958,2.861563402380647
