chunk_id,start_mhz,end_mhz,site,split,horizon,model,target_row_start,target_row_end,n_targets,mae_db,rmse_db
chunk_600_800,600.0,800.0,CC2,CC2_test,1,convlstm,0,2879,2880,7.111135482788086,9.54091739654541
chunk_600_800,600.0,800.0,CC2,CC2_test,5,convlstm,0,2879,2880,8.249404907226562,10.798562049865723
chunk_600_800,600.0,800.0,CC2,CC2_test,15,convlstm,0,2879,2880,9.077945709228516,11.791419982910156
chunk_600_800,600.0,800.0,CC2,CC2_test,60,convlstm,0,2879,2880,11.208717346191406,13.918335914611816
chunk_2400_2600,2400.0,2600.0,CC2,CC2_test,1,convlstm,0,2879,2880,8.573662757873535,9.523509979248047
chunk_2400_2600,2400.0,2600.0,CC2,CC2_test,5,convlstm,0,2879,2880,8.541078567504883,9.288251876831055
chunk_2400_2600,2400.0,2600.0,CC2,CC2_test,15,convlstm,0,2879,2880,8.025569915771484,8.983280181884766
chunk_2400_2600,2400.0,2600.0,CC2,CC2_test,60,convlstm,0,2879,2880,5.666572093963623,8.015076637268066
chunk_3500_3700,3500.0,3700.0,CC2,CC2_test,1,convlstm,0,2879,2880,2.651027202606201,3.172353744506836
chunk_3500_3700,3500.0,3700.0,CC2,CC2_test,5,convlstm,0,2879,2880,2.7528281211853027,3.3016233444213867
chunk_3500_3700,3500.0,3700.0,CC2,CC2_test,15,convlstm,0,2879,2880,2.966318368911743,3.5770606994628906
chunk_3500_3700,3500.0,3700.0,CC2,CC2_test,60,convlstm,0,2879,2880,5.108282089233398,5.889242172241211
