epoch,train_loss,val_loss,epoch_start_time,epoch_end_time,epoch_duration_sec,learning_rate,val_teacher_loss,val_loss_t1,val_loss_t5,val_loss_t15,val_loss_t60
1,0.6632092554696803,1.2653921702542803,2026-07-20T07:26:37+00:00,2026-07-20T07:26:59+00:00,22.116058600950055,0.005,1.1843460380439992,1.1806146125589774,1.1856652142708761,1.2151763611945554,1.3463484868123092
2,0.5628080308444816,1.2130852537151515,2026-07-20T07:26:59+00:00,2026-07-20T07:27:21+00:00,21.870958914980292,0.005,1.1782170928770308,1.174256113810361,1.1798448089785833,1.1917689583121502,1.2563359386406265
3,0.5434195299657003,1.1926567669045733,2026-07-20T07:27:21+00:00,2026-07-20T07:27:43+00:00,21.905887593049556,0.005,1.1433729202487286,1.138589430546415,1.1444397416394871,1.1586350849073048,1.2496261356624367
4,0.5351320649280746,1.1860457689683916,2026-07-20T07:27:43+00:00,2026-07-20T07:28:06+00:00,23.00382916792296,0.005,1.1553149122395285,1.1498895211587146,1.1532020830726186,1.1649006182323605,1.2197264795717986
5,0.5305453231648057,1.1675011419686172,2026-07-20T07:28:06+00:00,2026-07-20T07:28:28+00:00,21.84441246697679,0.005,1.14185622268556,1.1371176208274951,1.1408482470828827,1.1476662459035214,1.2079201399325232
6,0.5292882812290529,1.1967422372962027,2026-07-20T07:28:28+00:00,2026-07-20T07:28:50+00:00,21.801919940044172,0.005,1.1387439124644212,1.1343801638081636,1.1378872054483398,1.1516501763501665,1.271587746457959
7,0.5268440047738069,1.2066226240153717,2026-07-20T07:28:50+00:00,2026-07-20T07:29:11+00:00,21.793541302904487,0.005,1.1546446299571103,1.150243380158844,1.1525988975251384,1.168186456897075,1.273606222517885
8,0.5253660132257342,1.2290175880847498,2026-07-20T07:29:11+00:00,2026-07-20T07:29:33+00:00,21.762201671022922,0.005,1.1588159300824505,1.1539502743998162,1.1592655174610362,1.1853687335842897,1.3046128231546152
9,0.524266514551399,1.2078205683502325,2026-07-20T07:29:33+00:00,2026-07-20T07:29:55+00:00,21.761583556071855,0.005,1.153797075413821,1.1491807534620109,1.1551260915446335,1.1763535142399535,1.260655230733841
10,0.5242880632511103,1.186271787917314,2026-07-20T07:29:55+00:00,2026-07-20T07:30:17+00:00,21.69598771003075,0.005,1.1511769497512772,1.1469084894629855,1.14893979393372,1.1622511145724856,1.2359572140703121
