epoch,train_loss,val_loss,epoch_start_time,epoch_end_time,epoch_duration_sec,learning_rate,val_teacher_loss,val_loss_t1,val_loss_t5,val_loss_t15,val_loss_t60
1,0.6247638452685523,1.351596845571461,2026-07-20T13:11:21+00:00,2026-07-20T13:11:43+00:00,21.494849083013833,0.005,1.240211453303023,1.2050819783105113,1.2352804281585903,1.2888799271026214,1.4327089966846114
2,0.5593691886734756,1.3825439683711647,2026-07-20T13:11:43+00:00,2026-07-20T13:12:04+00:00,21.030549361021258,0.005,1.2881989888875334,1.2518888783873812,1.2544334169741893,1.3128020000239198,1.462841579620851
3,0.5304649443753792,1.4821685786644314,2026-07-20T13:12:04+00:00,2026-07-20T13:12:25+00:00,21.18156206794083,0.005,1.3141091166788426,1.2766271049143978,1.2772688971301633,1.3579128679198287,1.661083505570752
4,0.5049027753013837,1.486367258431804,2026-07-20T13:12:25+00:00,2026-07-20T13:12:46+00:00,21.234263541991822,0.005,1.3255423124370183,1.2901074188733666,1.2911454864455325,1.3889368769774644,1.629331339580399
5,0.4849550270135648,1.4784369082556508,2026-07-20T13:12:46+00:00,2026-07-20T13:13:07+00:00,20.963892849045806,0.005,1.3598160982314096,1.3239703575466497,1.300207579563919,1.3904466301180007,1.5800713334400478
6,0.46950582140035974,1.4854219817678103,2026-07-20T13:13:07+00:00,2026-07-20T13:13:28+00:00,21.040383515995927,0.005,1.3490480167251948,1.3129501248061703,1.2986166205817822,1.386704292617926,1.6454652913022898
7,0.4592763998532974,1.4739443977157791,2026-07-20T13:13:28+00:00,2026-07-20T13:13:49+00:00,21.184010192984715,0.005,1.383972300383041,1.344381351339808,1.296513932638263,1.3645399325307404,1.6244492075477874
8,0.4537516492127505,1.505528313226605,2026-07-20T13:13:49+00:00,2026-07-20T13:14:11+00:00,21.028841624967754,0.005,1.3977150631096638,1.3627462860643635,1.3223135994079915,1.3988053232226507,1.633919490758839
9,0.4426630522635745,1.4346958060953068,2026-07-20T13:14:11+00:00,2026-07-20T13:14:32+00:00,21.206243991968222,0.005,1.3794342777581503,1.3445866419396573,1.2911327156608936,1.3471416177596638,1.5428013579366406
10,0.44669928770359557,1.5142922510710994,2026-07-20T13:14:32+00:00,2026-07-20T13:14:53+00:00,21.110794014064595,0.005,1.423661178810347,1.3904100990732542,1.3682987877574013,1.439698327124984,1.6045041605204093
11,0.43481286230222443,1.4445832720961254,2026-07-20T13:14:53+00:00,2026-07-20T13:15:14+00:00,21.114017327083275,0.005,1.3887096371151637,1.354873867049483,1.322249981535583,1.3613401053059273,1.5495703240402607
12,0.42888155951862367,1.4368666101722338,2026-07-20T13:15:14+00:00,2026-07-20T13:15:35+00:00,21.140830741031095,0.005,1.4068802747223739,1.37176073189452,1.3331162545223834,1.3483021563478241,1.5546116038439746
13,0.4283555190924732,1.4466910629986443,2026-07-20T13:15:35+00:00,2026-07-20T13:15:56+00:00,21.000504505936988,0.005,1.4072186451453668,1.3704477081415396,1.3383790053330458,1.3780730839810178,1.53066094327829
14,0.4243748406798421,1.4684530411903143,2026-07-20T13:15:56+00:00,2026-07-20T13:16:17+00:00,20.86212525202427,0.005,1.4158523069983497,1.379412133790228,1.3404097079866437,1.4054519421640839,1.566061520412553
15,0.42211834720591596,1.5189891786772027,2026-07-20T13:16:17+00:00,2026-07-20T13:16:38+00:00,21.078329190961085,0.005,1.4261209589548016,1.3908771590661966,1.351775425094243,1.430346855414196,1.6444616106468999
16,0.42338776200819117,1.46627002913502,2026-07-20T13:16:38+00:00,2026-07-20T13:16:59+00:00,20.859363049967214,0.005,1.435187047269164,1.391586009376007,1.3478308328697024,1.388570482444909,1.555829333020495
17,0.41809993233612547,1.4760374496509503,2026-07-20T13:16:59+00:00,2026-07-20T13:17:20+00:00,21.045173223945312,0.005,1.4200979789037391,1.3808537054098318,1.3556033863740808,1.3934142992093965,1.5829191040318826
18,0.41833294066299714,1.4773232894967403,2026-07-20T13:17:20+00:00,2026-07-20T13:17:41+00:00,20.857098179054447,0.005,1.4378096396181763,1.3948650651528145,1.3593574899858514,1.4039521082564106,1.5656727586109462
19,0.41372295949833765,1.4776302014169482,2026-07-20T13:17:41+00:00,2026-07-20T13:18:02+00:00,21.036183494958095,0.005,1.4136818970679508,1.374343115833536,1.344010299904097,1.3995491185199223,1.5821405415137912
20,0.41801188482284907,1.498701500109446,2026-07-20T13:18:02+00:00,2026-07-20T13:18:23+00:00,21.141032133018598,0.005,1.4541479952923664,1.4131557793905027,1.3666124919427998,1.430448085502234,1.5992226582433178
