chunk_id,start_mhz,end_mhz,site,split,horizon,model,target_row_start,target_row_end,n_targets,mae_db,rmse_db
powder_600_800,600.0,800.0,humanities,humanities_test,1,vanillalstm,60,4092,4033,1.4885950088500977,2.6022839546203613
powder_600_800,600.0,800.0,humanities,humanities_test,5,vanillalstm,64,4096,4033,1.5032685995101929,2.60984206199646
powder_600_800,600.0,800.0,humanities,humanities_test,15,vanillalstm,74,4106,4033,1.5856183767318726,2.691807746887207
powder_600_800,600.0,800.0,humanities,humanities_test,60,vanillalstm,119,4151,4033,1.8029369115829468,2.931518793106079
