epoch,train_loss,val_loss,epoch_start_time,epoch_end_time,epoch_duration_sec,learning_rate,val_teacher_loss,val_loss_t1,val_loss_t5,val_loss_t15,val_loss_t60
1,0.7276186106735171,1.4472014905843595,2026-07-20T12:15:00+00:00,2026-07-20T12:15:22+00:00,22.297121900948696,0.005,1.3198453203424232,1.2829840290719448,1.288747783104275,1.3655232006215794,1.5496739831200257
2,0.6555519323269456,1.445966457573852,2026-07-20T12:15:22+00:00,2026-07-20T12:15:44+00:00,22.228898953995667,0.005,1.3082313983835638,1.2715053908054477,1.2773492622229778,1.3463890506986265,1.5659400496981908
3,0.6423704071339768,1.414966011338784,2026-07-20T12:15:44+00:00,2026-07-20T12:16:06+00:00,21.90777909697499,0.005,1.2979494596456553,1.2622505563921014,1.2589959580994818,1.3017888845060508,1.5499559173700552
4,0.6359383794140908,1.4401664854097767,2026-07-20T12:16:06+00:00,2026-07-20T12:16:29+00:00,22.27133344009053,0.005,1.2956788649169246,1.260405310972489,1.262281428046405,1.3291653923809847,1.5998200576117787
5,0.6285676304510273,1.4649833463547883,2026-07-20T12:16:29+00:00,2026-07-20T12:16:51+00:00,22.02446254401002,0.005,1.2777991757491238,1.2440982713692055,1.2443016014361399,1.3082266196301187,1.6659100724140863
6,0.6260439987749583,1.423610165612765,2026-07-20T12:16:51+00:00,2026-07-20T12:17:13+00:00,21.953265350079164,0.005,1.2834502501374807,1.2486345758867956,1.243650861875623,1.280979461757348,1.6049155810117903
7,0.624966525633781,1.4416921608679343,2026-07-20T12:17:13+00:00,2026-07-20T12:17:35+00:00,21.92753880098462,0.005,1.2739605701452361,1.2395128551742518,1.2373272347213478,1.2859032152261873,1.635966681996951
8,0.6231891445214695,1.5089353564315575,2026-07-20T12:17:35+00:00,2026-07-20T12:17:57+00:00,21.973524619010277,0.005,1.2716208238288407,1.235082840537005,1.2466405048180937,1.3593030984935368,1.6876807864883459
9,0.6220488778608559,1.462593723928045,2026-07-20T12:17:57+00:00,2026-07-20T12:18:19+00:00,22.732791753020138,0.005,1.2609860037373075,1.2255420531818573,1.2352587843414844,1.325356975231943,1.6421906447210233
10,0.621022280315436,1.4701712122393347,2026-07-20T12:18:19+00:00,2026-07-20T12:18:43+00:00,23.668880747980438,0.005,1.2832322306447215,1.2473551791710558,1.253392985251407,1.3341115568319835,1.6575964759377873
11,0.6204572223172677,1.4576222483122776,2026-07-20T12:18:43+00:00,2026-07-20T12:19:07+00:00,23.770823513972573,0.005,1.2926734085753275,1.2553643211323948,1.2496664777250122,1.3017378873366086,1.6821118173387963
12,0.6190127321517439,1.4383760922914977,2026-07-20T12:19:07+00:00,2026-07-20T12:19:29+00:00,22.357709466014057,0.005,1.2943931287076293,1.257633746171198,1.250608573896089,1.3080258088953354,1.6037847636946292
13,0.6182688775481805,1.4659220150538854,2026-07-20T12:19:29+00:00,2026-07-20T12:19:51+00:00,21.965053276973777,0.005,1.277618130989162,1.2407001119428596,1.248296667729925,1.3376070303804006,1.642156803489551
14,0.6176781566816157,1.4664857660749653,2026-07-20T12:19:51+00:00,2026-07-20T12:20:13+00:00,21.960743198986165,0.005,1.283494006959057,1.2461103238250755,1.2519630624466584,1.3349599350127124,1.6440515292337416
15,0.6171669714254671,1.5018874231051451,2026-07-20T12:20:13+00:00,2026-07-20T12:20:35+00:00,22.024374527973123,0.005,1.27831563465098,1.2421216068602956,1.2474278798988523,1.3309571803117,1.728479975502941
16,0.6164762369814593,1.4530271079542074,2026-07-20T12:20:35+00:00,2026-07-20T12:20:57+00:00,22.026854929048568,0.005,1.295176390020605,1.257256875792198,1.2548512538213417,1.334067633900595,1.618875382600439
17,0.6155756033529949,1.3503282030089563,2026-07-20T12:20:57+00:00,2026-07-20T12:21:19+00:00,22.061387668945827,0.005,1.2967217019535004,1.259937230278464,1.2508179582285461,1.2628921664699149,1.455570773189536
18,0.6151668657013154,1.403996118431878,2026-07-20T12:21:19+00:00,2026-07-20T12:21:41+00:00,22.041961573064327,0.005,1.3128252901859736,1.2751686075791955,1.2573022499987876,1.2813157714715524,1.5637985765706317
19,0.6158886071087559,1.426715870683115,2026-07-20T12:21:41+00:00,2026-07-20T12:22:03+00:00,21.95207428804133,0.005,1.2882374893899544,1.2513865725150812,1.2442212130296677,1.315803130771296,1.592408284419725
20,0.6147214161038443,1.4248271405560264,2026-07-20T12:22:03+00:00,2026-07-20T12:22:25+00:00,21.962779497960582,0.005,1.2964814530701196,1.2589079650692396,1.246720199643245,1.2937841298836985,1.5898820878532298
