chunk_id,band_id,start_mhz,end_mhz,behavior_category,site,split,horizon,model,mae_db,rmse_db
powder_600_800,region_16,789.5,794.5,mixed_activity,humanities,humanities_test,15,vanillalstm,0.07825583964586258,0.10257793962955475
powder_600_800,region_17,795.5,799.5,noise_floor,humanities,humanities_test,15,vanillalstm,0.03849625959992409,0.22092533111572266
powder_600_800,region_01,600.5,607.5,mixed_activity,humanities,humanities_test,60,vanillalstm,3.334980010986328,4.618593215942383
powder_600_800,region_02,608.5,621.5,noise_floor,humanities,humanities_test,60,vanillalstm,0.039177268743515015,0.0705411359667778
powder_600_800,region_03,622.5,641.5,bursty_short_timescale,humanities,humanities_test,60,vanillalstm,3.40808367729187,4.176827907562256
powder_600_800,region_04,642.5,646.5,mixed_activity,humanities,humanities_test,60,vanillalstm,1.3126031160354614,1.7922462224960327
powder_600_800,region_05,647.5,655.5,diurnal_pattern,humanities,humanities_test,60,vanillalstm,2.911479949951172,3.8353514671325684
powder_600_800,region_06,656.5,675.5,mixed_activity,humanities,humanities_test,60,vanillalstm,2.2426517009735107,2.7502899169921875
powder_600_800,region_07,676.5,690.5,noise_floor,humanities,humanities_test,60,vanillalstm,0.07631681859493256,0.2654910385608673
powder_600_800,region_08,691.5,728.5,mixed_activity,humanities,humanities_test,60,vanillalstm,1.8238571882247925,2.233515977859497
powder_600_800,region_09,729.5,734.5,mixed_activity,humanities,humanities_test,60,vanillalstm,1.7984967231750488,2.2037582397460938
powder_600_800,region_10,735.5,740.5,intermittent_occupancy,humanities,humanities_test,60,vanillalstm,2.1406772136688232,2.6085634231567383
powder_600_800,region_11,741.5,745.5,intermittent_occupancy,humanities,humanities_test,60,vanillalstm,1.5354334115982056,2.0956311225891113
powder_600_800,region_12,746.5,755.5,bursty_short_timescale,humanities,humanities_test,60,vanillalstm,2.4253618717193604,3.0766232013702393
powder_600_800,region_13,756.5,768.5,diurnal_pattern,humanities,humanities_test,60,vanillalstm,1.1450875997543335,1.5665485858917236
powder_600_800,region_14,769.5,776.5,bursty_short_timescale,humanities,humanities_test,60,vanillalstm,5.7012858390808105,7.8257646560668945
powder_600_800,region_15,777.5,788.5,noise_floor,humanities,humanities_test,60,vanillalstm,0.0261774230748415,0.034825876355171204
powder_600_800,region_16,789.5,794.5,mixed_activity,humanities,humanities_test,60,vanillalstm,0.09151521325111389,0.11681210249662399
powder_600_800,region_17,795.5,799.5,noise_floor,humanities,humanities_test,60,vanillalstm,0.040236927568912506,0.22118926048278809
