search_stage,trial_id,status,model_name,chunk_id,seed,hidden_size,num_layers,dropout,output_strategy,bidirectional,learning_rate,batch_size,weight_decay,optimizer,gradient_clip_norm,epochs_requested,epochs_completed,best_epoch,train_loss_at_best,teacher_val_loss_at_best,val_ar_loss,rmse_t1_db,rmse_t5_db,rmse_t15_db,rmse_t60_db,mean_horizon_rmse_db,mae_t1_db,mae_t5_db,mae_t15_db,mae_t60_db,mean_horizon_mae_db,training_seconds,validation_seconds,total_seconds,checkpoint_path,config_path,error_message
architecture,arch_0011,completed,vanillalstm,powder_600_800,42,8,3,0.2,final_hidden,False,0.001,32,0.0001,adam,1.0,15,7,4,0.683887667224142,1.3326727797966877,1.415483281812595,2.2866248527753714,2.349404217664465,2.3795705495632253,2.5785976905801706,2.398549327645808,1.2358349792252783,1.2723048763748996,1.3071882260466015,1.4615418854399977,1.3192174917716943,141.23,0.13,141.36,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/arch_0011_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/arch_0011.yaml,
architecture,arch_0012,completed,vanillalstm,powder_600_800,42,16,1,0.0,final_hidden,False,0.001,32,0.0001,adam,1.0,15,6,3,0.594386148905793,1.2172590921853335,1.314012760424432,2.1883035020132553,2.277929328605935,2.3210741872193528,2.469864161039413,2.3142927947194893,1.1547493399154474,1.2142595443632862,1.2488027509067476,1.3619379557042834,1.2449373977224414,64.77,0.1,64.87,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/arch_0012_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/arch_0012.yaml,
architecture,arch_0013,completed,vanillalstm,powder_600_800,42,16,2,0.0,final_hidden,False,0.001,32,0.0001,adam,1.0,15,6,3,0.601353604760954,1.2747432366582274,1.4098241219993766,2.274779133353035,2.3632278111039855,2.4197391813602764,2.6334833022227624,2.4228073570100146,1.2330426748672354,1.303496223435634,1.3666546464297773,1.5386104593518375,1.360451001021121,91.04,0.12,91.16,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/arch_0013_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/arch_0013.yaml,
architecture,arch_0014,completed,vanillalstm,powder_600_800,42,16,2,0.1,final_hidden,False,0.001,32,0.0001,adam,1.0,15,7,4,0.6071313370145819,1.2757412095106284,1.384949014387058,2.2744876252089967,2.360669249031512,2.3924716446674186,2.5752401787064882,2.4007171744036038,1.2373090416012302,1.2999816444536298,1.3414571393012897,1.4825579410414644,1.3403264415994036,111.54,0.12,111.66,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/arch_0014_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/arch_0014.yaml,
architecture,arch_0015,completed,vanillalstm,powder_600_800,42,16,2,0.2,final_hidden,False,0.001,32,0.0001,adam,1.0,15,8,5,0.6196785962343904,1.2636038674653032,1.3589534450123328,2.2363799870709755,2.3084156740471307,2.3627668463352083,2.441383856277136,2.337236590932613,1.1981502807009674,1.2450259703545379,1.294922412456973,1.3515734266503758,1.2724180225407136,127.58,0.12,127.7,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/arch_0015_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/arch_0015.yaml,
architecture,arch_0016,completed,vanillalstm,powder_600_800,42,16,3,0.0,final_hidden,False,0.001,32,0.0001,adam,1.0,15,6,3,0.6249589368179543,1.3118175204473597,1.4400844956172332,2.2785586430566607,2.331706916670931,2.378011607724144,2.633700266198629,2.405494358412591,1.232329812609128,1.2654877402361,1.3197753897540747,1.5398416197230904,1.3393586405805982,115.23,0.13,115.36,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/arch_0016_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/arch_0016.yaml,
architecture,arch_0017,completed,vanillalstm,powder_600_800,42,16,3,0.1,final_hidden,False,0.001,32,0.0001,adam,1.0,15,9,6,0.6077049706880203,1.2978002442658403,1.4024785620565632,2.27826182424458,2.346981018111925,2.38979244086473,2.5359446374469923,2.3877449801670565,1.2153033726753677,1.2574917421474814,1.298975593632702,1.4213278319520173,1.2982746351018921,182.78,0.13,182.91,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/arch_0017_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/arch_0017.yaml,
architecture,arch_0018,completed,vanillalstm,powder_600_800,42,16,3,0.2,final_hidden,False,0.001,32,0.0001,adam,1.0,15,11,8,0.6208589748921783,1.3194105515953238,1.3813313964669032,2.293263283272028,2.369538275726422,2.3845696804005447,2.52292354087367,2.392573695068166,1.2520786106532689,1.3035028727886406,1.3216982688905368,1.4195759942711237,1.3242139366508927,222.37,0.13,222.5,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/arch_0018_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/arch_0018.yaml,
architecture,arch_0019,completed,vanillalstm,powder_600_800,42,32,1,0.0,final_hidden,False,0.001,32,0.0001,adam,1.0,15,5,2,0.5787549838507832,1.20085926092308,1.3327416609261782,2.1974711908556923,2.2840323967740788,2.333053394469483,2.47468344891403,2.322310107753321,1.1564437801640317,1.2227309716198915,1.268955919586343,1.3821215261127222,1.257563049370747,54.06,0.1,54.16,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/arch_0019_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/arch_0019.yaml,
architecture,arch_0020,completed,vanillalstm,powder_600_800,42,32,2,0.0,final_hidden,False,0.001,32,0.0001,adam,1.0,15,4,1,0.7006536263467437,1.2488541675887945,1.4059654355959128,2.217588520738999,2.2943933693025493,2.36696878982859,2.5436365597241366,2.355646809898569,1.1828929813435298,1.2406304893942153,1.3071679374660932,1.433804901966257,1.291124077542524,60.34,0.12,60.46,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/arch_0020_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/arch_0020.yaml,
architecture,arch_0021,completed,vanillalstm,powder_600_800,42,32,2,0.1,final_hidden,False,0.001,32,0.0001,adam,1.0,15,5,2,0.6061034207733994,1.2096132467721254,1.3397691541045678,2.1817152631524674,2.278420952405072,2.3455345079552603,2.513002427871165,2.329668287845991,1.1579789373647915,1.2223514817203884,1.2754797666362128,1.4185039075857089,1.2685785233267755,79.11,0.12,79.22,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/arch_0021_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/arch_0021.yaml,
architecture,arch_0022,completed,vanillalstm,powder_600_800,42,32,2,0.2,final_hidden,False,0.001,32,0.0001,adam,1.0,15,6,3,0.5965189727220185,1.2416166367421624,1.3927112808664337,2.2180950747146717,2.299727663620815,2.365849332792505,2.6070630802182135,2.372683787836551,1.1756987908857903,1.2348786799027844,1.301460805304236,1.5083510640704878,1.3050973350408246,95.19,0.12,95.3,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/arch_0022_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/arch_0022.yaml,
architecture,arch_0023,completed,vanillalstm,powder_600_800,42,32,3,0.0,final_hidden,False,0.001,32,0.0001,adam,1.0,15,5,2,0.6028754832034995,1.2927742513991494,1.3959729544079031,2.273408301609759,2.337292272260365,2.362824330529852,2.5942576194388054,2.3919456309596954,1.237067192142616,1.2843639500013386,1.3223689423350038,1.4849258199865016,1.332181476116365,95.7,0.12,95.83,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/arch_0023_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/arch_0023.yaml,
architecture,arch_0024,completed,vanillalstm,powder_600_800,42,32,3,0.1,final_hidden,False,0.001,32,0.0001,adam,1.0,15,5,2,0.618921055782399,1.2575456859501264,1.400556413271955,2.248497444446442,2.3137706908940716,2.3610142870856357,2.6216651276654073,2.386236887522889,1.2011543044243476,1.24582268509683,1.3004842142824,1.4903646736487688,1.3094564693630866,100.27,0.12,100.4,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/arch_0024_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/arch_0024.yaml,
architecture,arch_0025,completed,vanillalstm,powder_600_800,42,32,3,0.2,final_hidden,False,0.001,32,0.0001,adam,1.0,15,5,2,0.6317326887763609,1.2651256222761313,1.3904019785291366,2.2497063745914008,2.3216936658997342,2.370157262692261,2.5975520602385775,2.3847773408554933,1.1961004978029268,1.2423677159416373,1.2968868985424191,1.477180173402234,1.3031338214223043,100.64,0.13,100.76,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/arch_0025_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/arch_0025.yaml,
optimization,opt_0026,completed,vanillalstm,powder_600_800,42,16,1,0.0,final_hidden,False,0.0005,32,0.0,adam,1.0,15,7,4,0.6173748626368686,1.2675081864568114,1.4106352183655018,2.235046636017362,2.317791696601661,2.3951732350571944,2.554614482588662,2.37565651256622,1.208552549789806,1.2577677008244657,1.3242183995168535,1.444050090224812,1.3086471850889843,75.83,0.1,75.94,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/opt_0026_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/opt_0026.yaml,
