epoch,train_loss,val_loss
1,0.19612742284381832,0.10227058910661274
2,0.1034509027261793,0.09709832734531826
3,0.09678931423911342,0.08851781114935875
4,0.09310727290533206,0.0826100448353423
5,0.09091763386939779,0.08144023414287302
6,0.09029443051528048,0.08393836456040542
7,0.08992288555995917,0.08003624756303099
8,0.08981762164168888,0.07978102647595936
9,0.08957975196801586,0.07972598986493216
10,0.08940517217104818,0.0794057080315219
11,0.08929913440420303,0.07983180694282055
12,0.08947290438744757,0.07986866537895468
13,0.08929171141834906,0.07902869209647179
14,0.08908420653990758,0.07957781168321769
15,0.08915296035968227,0.07877684156927797
16,0.08904961400009968,0.07850398723449972
17,0.08911910262188794,0.07866421403984229
18,0.08897500862309962,0.07915719639923838
19,0.08896359805891543,0.07846310051778953
20,0.08885933559985808,0.07837204283310308
21,0.08893802886207898,0.07849555152157943
22,0.08881680133901997,0.07823878133462535
23,0.08882603596573994,0.07854287885129452
24,0.08884228508413573,0.07887330216666062
25,0.08879572438237107,0.07867931202054024
