epoch,train_loss,val_loss,epoch_start_time,epoch_end_time,epoch_duration_sec,learning_rate,val_teacher_loss,val_loss_t1,val_loss_t5,val_loss_t15,val_loss_t60
1,0.7801743370592856,1.4367396485714512,2026-07-20T05:02:13+00:00,2026-07-20T05:02:29+00:00,16.097510396968573,0.001,1.3174794666639722,0.8512044735537231,0.8644470131124249,0.9370044387933862,1.067346935053818
2,0.6649255404788728,1.3895455243933292,2026-07-20T05:02:29+00:00,2026-07-20T05:02:45+00:00,15.988498224993236,0.001,1.2805968586725134,0.8122905720281237,0.8180394973463685,0.868003171818857,1.046591471169741
3,0.6363793580202839,1.363019368120732,2026-07-20T05:02:45+00:00,2026-07-20T05:03:01+00:00,15.971477188984863,0.001,1.2502010687616945,0.7831921340855024,0.7857839788189371,0.8350889082173355,1.0109645100950284
4,0.6247672534087634,1.3748340770488476,2026-07-20T05:03:01+00:00,2026-07-20T05:03:17+00:00,15.943546006921679,0.001,1.2516735764860196,0.7835077183847209,0.7949053458585084,0.861208746451458,1.001588905130634
5,0.6196785962343904,1.3589534450123328,2026-07-20T05:03:17+00:00,2026-07-20T05:03:33+00:00,15.919229558086954,0.001,1.2636038674653032,0.7960794900209849,0.803977198273171,0.8596297074820249,0.9550985953280033
6,0.6161521558747841,1.3881911612649,2026-07-20T05:03:33+00:00,2026-07-20T05:03:49+00:00,15.915200272924267,0.001,1.266123553268782,0.7966961751457389,0.8140893819677921,0.8911106477256949,1.000173444056329
7,0.6137124425596684,1.4212729111882567,2026-07-20T05:03:49+00:00,2026-07-20T05:04:05+00:00,15.930818931083195,0.001,1.2651951768016088,0.7975349426269531,0.8110252627889618,0.8983174152956664,1.0353781012178378
8,0.6116737786371615,1.4456723955751376,2026-07-20T05:04:05+00:00,2026-07-20T05:04:21+00:00,15.929349552025087,0.001,1.2691445387046756,0.8008082003993843,0.8169812992328905,0.9065565553330283,1.086993515946483
