epoch,train_loss,val_loss,epoch_start_time,epoch_end_time,epoch_duration_sec,learning_rate,val_teacher_loss,val_loss_t1,val_loss_t5,val_loss_t15,val_loss_t60
1,0.6681380199770041,1.351226273383803,2026-07-20T05:43:11+00:00,2026-07-20T05:43:17+00:00,5.662133267964236,0.003,1.213640364071795,0.7527517198606302,0.7815364735727092,0.8341090478969895,0.9972705404267056
2,0.5597233861838053,1.3357680062301287,2026-07-20T05:43:17+00:00,2026-07-20T05:43:23+00:00,5.788848503958434,0.003,1.2030473647226814,0.7424839507532484,0.7706793137179077,0.8431095021371623,0.938980404657262
3,0.5327233297080568,1.367237147484117,2026-07-20T05:43:23+00:00,2026-07-20T05:43:28+00:00,5.639706347952597,0.003,1.217567143549446,0.7577754905205647,0.7817652716891457,0.8587783201960207,0.9925419829273951
4,0.5185132783149725,1.4005577873637658,2026-07-20T05:43:28+00:00,2026-07-20T05:43:34+00:00,5.633392053074203,0.003,1.2296671284974077,0.7731129467942333,0.7924977040472831,0.8876598663912475,1.0227093914992937
5,0.5088483488733162,1.4279869112349648,2026-07-20T05:43:34+00:00,2026-07-20T05:43:40+00:00,5.632658454007469,0.003,1.2440729432433617,0.7827999246029453,0.7903512779992955,0.9023053373089274,1.103931494341552
