epoch,train_loss,val_loss,epoch_start_time,epoch_end_time,epoch_duration_sec,learning_rate,val_teacher_loss,val_loss_t1,val_loss_t5,val_loss_t15,val_loss_t60
1,0.8367185660456977,1.498345811858432,2026-07-20T05:36:24+00:00,2026-07-20T05:36:30+00:00,5.508180801989511,0.0005,1.3682898637902645,0.9010300800090528,0.9267708836621,1.0037578007647099,1.094393528144778
2,0.6776713613328679,1.4611140152880253,2026-07-20T05:36:30+00:00,2026-07-20T05:36:35+00:00,5.508776240050793,0.0005,1.3037555017544114,0.8372693425826444,0.8596695142847891,0.9381926332721273,1.1005132343932873
3,0.6314675459953857,1.3995990862373178,2026-07-20T05:36:35+00:00,2026-07-20T05:36:41+00:00,5.505803284002468,0.0005,1.260248852140121,0.7947379177763262,0.8187352446199373,0.898767547753021,1.022606753210985
4,0.6045353736106536,1.3866161026117456,2026-07-20T05:36:41+00:00,2026-07-20T05:36:46+00:00,5.5154866960365325,0.0005,1.2379733114752152,0.7748936951615428,0.7913544341808058,0.8500300290930363,1.041078807743451
5,0.5877864254951836,1.3592299468644702,2026-07-20T05:36:46+00:00,2026-07-20T05:36:52+00:00,5.5187620730139315,0.0005,1.2330434668155117,0.7691891611987398,0.7931801381001946,0.8405921877795504,1.0044265230193392
6,0.5750361352123551,1.3591258635047738,2026-07-20T05:36:52+00:00,2026-07-20T05:36:57+00:00,5.516371635021642,0.0005,1.2381730370849144,0.7722952602473834,0.7988996869735135,0.8536104063951332,0.979371682378172
7,0.5642263862549339,1.3631723673289058,2026-07-20T05:36:57+00:00,2026-07-20T05:37:03+00:00,5.497339632944204,0.0005,1.2406888736113337,0.7731154128795362,0.8014438971308352,0.8577855088328588,0.9785978593899094
8,0.5549753366682291,1.3638377826632435,2026-07-20T05:37:03+00:00,2026-07-20T05:37:08+00:00,5.522978053078987,0.0005,1.2506263838469527,0.7829225372722131,0.8081538768215034,0.8657580641389803,0.9643996180468843
9,0.5469908017698322,1.3776277913392045,2026-07-20T05:37:08+00:00,2026-07-20T05:37:14+00:00,5.508111822069623,0.0005,1.2670987471369386,0.7990957398451012,0.8266263190116591,0.8846279355405852,0.970343673502216
