epoch,train_loss,val_loss,epoch_start_time,epoch_end_time,epoch_duration_sec,learning_rate,val_teacher_loss,val_loss_t1,val_loss_t5,val_loss_t15,val_loss_t60
1,0.9314896679875484,1.5413670030258995,2026-07-20T05:26:27+00:00,2026-07-20T05:26:33+00:00,5.494879598962143,0.0005,1.481175315289097,1.015403299841262,1.0206836744119192,1.066540372280674,1.1030718352048452
2,0.7471825485170882,1.504215506196932,2026-07-20T05:26:33+00:00,2026-07-20T05:26:38+00:00,5.4947279480984434,0.0005,1.3602435061039815,0.8938461733228378,0.9207019132512216,1.0060401672625359,1.1018267023654384
3,0.6877612543273537,1.5089011738318523,2026-07-20T05:26:38+00:00,2026-07-20T05:26:44+00:00,5.4602124489611015,0.0005,1.322939406824476,0.8573250315571559,0.8938006135343596,0.9586605261300356,1.1582471796574483
4,0.6576227541477008,1.4389880249518474,2026-07-20T05:26:44+00:00,2026-07-20T05:26:49+00:00,5.501245134975761,0.0005,1.3001247744523843,0.8344078755560722,0.8706975802210452,0.9416138015630591,1.0551296882046999
5,0.6382418450635783,1.427834053985945,2026-07-20T05:26:49+00:00,2026-07-20T05:26:55+00:00,5.476388161070645,0.0005,1.2844341729433482,0.8181794035525722,0.8539028695521463,0.9268167437487886,1.0472741927809388
6,0.6227024954803373,1.4163972530656188,2026-07-20T05:26:55+00:00,2026-07-20T05:27:00+00:00,5.475066372076981,0.0005,1.2673687061280694,0.8007387951130175,0.8327115328257321,0.9095293365362036,1.0483273804642772
7,0.609711609856481,1.4161133256577354,2026-07-20T05:27:00+00:00,2026-07-20T05:27:06+00:00,5.485470900079235,0.0005,1.2542428533539518,0.7871516333281539,0.8159040967926724,0.8974167499833434,1.0630447919132144
8,0.5997034849253948,1.406714226453359,2026-07-20T05:27:06+00:00,2026-07-20T05:27:11+00:00,5.476909546065144,0.0005,1.2436323639090734,0.7754682256975247,0.8050787539882515,0.885810386133558,1.0600729279845726
9,0.5917069354036978,1.3960163138294948,2026-07-20T05:27:11+00:00,2026-07-20T05:27:17+00:00,5.503382088034414,0.0005,1.2397233802853649,0.7707510795302064,0.803271795957143,0.8833310877093832,1.0347165624603971
10,0.584775485516073,1.3883975280150203,2026-07-20T05:27:17+00:00,2026-07-20T05:27:22+00:00,5.498655259027146,0.0005,1.2368888108784917,0.7666990119992322,0.8009687634824797,0.8823512273890372,1.012655294578494
11,0.5786041164807868,1.3877677280484264,2026-07-20T05:27:22+00:00,2026-07-20T05:27:28+00:00,5.526547620072961,0.0005,1.2389017352621063,0.7684353671911108,0.8013844653850294,0.881536667583553,1.0091300975275403
12,0.5731314573206627,1.4050379363635115,2026-07-20T05:27:28+00:00,2026-07-20T05:27:33+00:00,5.487240402959287,0.0005,1.2403890067384442,0.76858543075678,0.8026251246910969,0.8951037840078805,1.0308161182257964
13,0.5685313809744824,1.4147072402575545,2026-07-20T05:27:33+00:00,2026-07-20T05:27:39+00:00,5.494852742063813,0.0005,1.2521341047214187,0.7785130347914369,0.8069179276473649,0.8919349371931935,1.0519201318726286
14,0.5646961182225054,1.4047094265013251,2026-07-20T05:27:39+00:00,2026-07-20T05:27:44+00:00,5.479435165063478,0.0005,1.2470769736603016,0.7733467007411345,0.8011079944727075,0.8888442716525711,1.0378655404534958
