epoch,train_loss,val_loss,epoch_start_time,epoch_end_time,epoch_duration_sec,learning_rate,val_teacher_loss,val_loss_t1,val_loss_t5,val_loss_t15,val_loss_t60
1,0.7788701094140317,1.4384381006692202,2026-07-20T04:39:53+00:00,2026-07-20T04:40:01+00:00,7.913195361034013,0.001,1.2988588500568885,0.8337044697681456,0.849084147970185,0.9158475198818528,1.0791761638553998
2,0.6505345630328777,1.4071457604415545,2026-07-20T04:40:01+00:00,2026-07-20T04:40:09+00:00,7.93541863898281,0.001,1.2542840997681364,0.7903456014531259,0.8097814021219734,0.8800749578548752,1.0675439161198739
3,0.6172535292450074,1.429524640090593,2026-07-20T04:40:09+00:00,2026-07-20T04:40:17+00:00,7.896720346994698,0.001,1.2296229591806427,0.7668916523911571,0.7864191259136637,0.8662662524303407,1.154040187369776
4,0.601942163435949,1.3939768831238493,2026-07-20T04:40:17+00:00,2026-07-20T04:40:25+00:00,7.886705246986821,0.001,1.2383618882594218,0.7754415373765785,0.794001069687705,0.8618617257999099,1.0792812227292825
5,0.5929289119359945,1.3790110486154339,2026-07-20T04:40:25+00:00,2026-07-20T04:40:33+00:00,7.876184988999739,0.001,1.2494718264077456,0.7878454896329924,0.8009323855392806,0.8589041214862853,1.036836946283588
